experiment	SRA_ID
SRX25627136	SRR30159864
SRX25627135	SRR30159865
SRX25627134	SRR30159866
SRX25627133	SRR30159867
SRX25627132	SRR30159868
SRX25627131	SRR30159869
SRX25627130	SRR30159870
SRX25627129	SRR30159871
SRX25627128	SRR30159872
SRX25627127	SRR30159873
SRX25627126	SRR30159874
SRX25627125	SRR30159875
SRX25627124	SRR30159876
SRX25627123	SRR30159877
SRX25524106	SRR30049725
SRX25524105	SRR30049726
SRX25524104	SRR30049728
SRX25524103	SRR30049729
SRX25524115	SRR30049717
SRX25524114	SRR30049722
SRX25524113	SRR30049718
SRX25524112	SRR30049721
SRX25524111	SRR30049719
SRX25524110	SRR30049720
SRX25524109	SRR30049723
SRX25524108	SRR30049724
SRX25524107	SRR30049727
