,ID,Title,Summary,Accession,Date,Relevance,RelevanceConfidence,Justification
0,200245247,CRISPR activation screens identify the SWI-SNF ATPases as suppressors of ferroptosis [NGS4182_ATAC],"Ferroptosis is an iron-dependent cell death mechanism characterized by an accumulation of toxic lipid peroxides and membrane rupture. The glutathione dependent enzyme, GPX4 (glutathione peroxidase 4), prevents ferroptosis by reducing these lipid peroxides into non-toxic lipid alcohols. Ferroptosis induction by GPX4 inhibition has emerged as a vulnerability of cancer cells, thus highlighting the need to identify ferroptosis regulators that may be exploited therapeutically. Through genome-wide screens and a series of genetic, genomic, and quantitative imaging approaches, we identify the SWI-SNF ATPases BRM and BRG1 as ferroptosis suppressors. Mechanistically, they directly bind to and catalytically increase chromatin accessibility at NRF2 target loci, thus boosting NRF2 transcriptional output. This primes cells to counter lipid peroxidation and confers resistance to GPX4 inhibition and ferroptosis. Importantly, we demonstrate that the BRM/BRG1-ferroptosis connection can be leveraged to enhance the paralog dependency of BRG1-mutant lung cancer cells on BRM, especially in lines that are less sensitive to BRM inhibition or degradation. Our data reveal ferroptosis induction as a potential avenue for broadening the efficacy of BRM degraders/inhibitors and define a specific genetic context for exploiting GPX4 dependency.",GSE245247,2024/07/01,Not Relevant,2/3,"This dataset focuses on ferroptosis and its mechanisms in lung cancer cells, which is not directly related to immunotherapies for lung cancer. While it explores cancer treatment vulnerabilities, it does not specifically address immune-based therapies.; This dataset focuses on the regulation of ferroptosis and its potential therapeutic implications in BRG1-mutant lung cancer cells. While it pertains to lung cancer, it does not specifically explore immunotherapies, which is the main focus of the query.; This dataset explores the role of ferroptosis suppressors in lung cancer, which is crucial for developing immunotherapies targeting lung cancer cells. The findings indicate a unique genetic context that could be exploited therapeutically, making it pertinent to the query on immunotherapies for lung cancer. Understanding the connections between ferroptosis and lung cancer cells may lead to innovative therapeutic strategies."
1,200252587,Regulatory role of echinochrome A in cancer-associated fibroblast-mediated lung cancer cell migration,"Echinochrome A (Ech A), a marine biosubstance isolated from sea urchins, is a strong antioxidant, and its clinical form, histochrome, is being used to treat several diseases, such as ophthalmic, cardiovascular, and metabolic diseases. Cancer-associated fibroblasts (CAFs) are a component of the tumor stroma and induce phenotypes related to tumor malignancy, including epithelial–mesenchymal transition (EMT) and cancer stemness, through reciprocal interactions with cancer cells. Here, we investigated whether Ech A modulates the properties of CAFs and alleviates CAF-induced lung cancer cell migration. Interestingly, the secretion of several cytokines and chemokines stimulating cancer cell metastasis was reduced in CAF-like MRC5 cells treated with Ech A compared to untreated MRC5 cells. Moreover, while conditioned medium from MRC5 cells enhanced the migration of non-small cell lung cancer cells, conditioned medium from MRC5 cells treated with Ech A suppressed cancer cell migration. In conclusion, we suggest that Ech A might be a potent adjuvant that increases the efficacy of cancer treatments to mitigate lung cancer progression.",GSE252587,2024/06/26,Relevant,3/3,"This dataset investigates the role of echinochrome A in modulating cancer-associated fibroblast effects on lung cancer cell migration. The findings may enhance immunotherapy approaches by reducing lung cancer progression, making it relevant to immunotherapy exploration.; This dataset investigates the role of Echinochrome A in reducing cancer cell migration induced by cancer-associated fibroblasts in lung cancer. This has direct implications for improving cancer treatment methods, including immunotherapy.; This dataset investigates the effects of echinochrome A on lung cancer cell migration, highlighting its potential as a treatment to mitigate lung cancer progression. The research focuses on the interaction between cancer-associated fibroblasts and lung cancer cells, which is relevant for understanding the tumor microenvironment in immunotherapy contexts. It suggests that echinochrome A could enhance the efficacy of cancer treatments, making it relevant to immunotherapy exploration."
2,200238223,Systemically primed central memory T cells source intranasally boosted tissue-resident memory T cells against melanoma lung metastasis,Tissue resident memory T (TRM) cells mediate the frontline protection against melanoma lung metastasis. We utilized scRNA-seq to investigate the underlying molecular mechanism of central memory T (TCM) to lung TRM development in the prime-boost vaccinaiton regimen.,GSE238223,2024/07/10,Not Relevant,3/3,"This dataset focuses on T cell mechanisms against melanoma lung metastasis rather than directly investigating immunotherapies for lung cancer. While it involves T cells, it does not pertain to lung cancer specifically.; This dataset studies central memory T cells and their role in melanoma lung metastasis, which does not directly link to immunotherapies for lung cancer specifically.; This dataset primarily focuses on T cell responses to melanoma lung metastasis, which does not directly address lung cancer immunotherapy. While it provides insights into immune responses, the specific context of melanoma limits its relevance to lung cancer immunotherapy exploration. The focus on melanoma rather than lung cancer makes this dataset less relevant."
3,200242951,Contribution of crosstalk of mesothelial and tumoral epithelial cells in pleural metastasis of lung cancer,"Tumor metastasis commonly affects pleura in advanced lung cancer and is related to poor prognosis, but without systematic investigation on different cell types and their crosstalk at single cell resolution. Here, by integrating 180785 single cells from lung cancer and control samples, the most distinctive transcriptome profiles between tumor and control were revealed in mesothelial cells, which is the predominate cell type of pleura. Four subtypes were divided, including one predominately identified in malignant pleural effusion which was characterized by enriched cancer related pathways (e.g., cell migration) along evolutionary trajectory from normal mesothelial cells. Cancer-associated mesothelial cells exhibited varied interactions with different subtypes of malignant epithelial cells, and multiple ligands/receptors exhibited significant correlation with poor prognosis. Experimentally, mesothelial cells can increase the migration ability of lung cancer cells through co-culturing assay, and EGFR was the only affected gene in cancer cells that exhibited interaction with mesothelial cells and was associated with poor prognosis. Using EGFR antagonist cetuximab prevented the increased invasiveness of lung cancer cells induced by mesothelial cells. Moreover, EPGN-EGFR interaction was supported through spatial distribution analysis, revealing the significant proximity between EPGN+ mesothelial cells and EGFR+ epithelial cells. Our findings highlighted the important role of mesothelial cells and their interactions with cancer cells in pleural metastasis of lung cancer, which may facilitate cancer progression.",GSE242951,2024/06/26,Relevant,3/3,"This dataset examines the crosstalk between mesothelial cells and tumor cells in lung cancer metastasis. Understanding these interactions can provide insights into immune evasion mechanisms, which is relevant for developing immunotherapies.; This dataset explores the interactions between mesothelial and tumoral epithelial cells in lung cancer metastasis, providing insights that could aid in the development of immunotherapy strategies.; This dataset discusses the crosstalk between mesothelial and tumoral epithelial cells in lung cancer metastasis. Understanding these interactions can provide insights into tumor biology and potential therapeutic targets, which is essential for developing immunotherapies for lung cancer. The findings could inform strategies to improve lung cancer treatment outcomes."
4,200251937,In situ targeted gene expression analysis of Marjolin ulcers,"Marjolin's ulcer is a a rare and aggressive cutaneous malignancy that can arise on previously injured skin, established scars, and chronic non-healing wounds. It is most often found in burn scars, but it can also occur in other types of wounds, including venous stasis ulcers, pressure sores, and vaccination sites. The most common histological type of Marjolin’s ulcers is squamous cell carcinoma, however basal cell carcinomas, malignant melanomas, and sarcomas have also been reported. All parts of the body could potentially be affected yet the lower extremities are the anatomic sites most commonly involved. While SCCs commonly have a metastasis rate of 0.5 to 3.0 percent, those arising from burn scars metastasize at a rate in excess of 30 percent. The 5-year survival after a diagnosis of Marjolin’s ulcer was found to be 50 percent. The transformation to a malignancy can occur either chronically, over a period of more than 35 years, or occasionally within a year of the original injury. The exact mechanism of this transformation is not fully understood, but it is thought to be related to chronic keratinocyte dysfunction during the healing process of severe burn wounds. Surgical excision is the main treatment for Marjolin's ulcer and provides the best chance of survival. In a previous study, we investigated the bulk transcriptional changes that lead to Marjolin's ulcer by comparing global gene expression changes between squamous cells present in a squamous cell carcinoma versus those present within Marjolin's ulcer (MU) (Sinha et. al. JBCR 2017). This imparted novel insights into mechanisms underlying divergent clinical features of these cutaneous cancers. The goal of our current study is to characterize a new case of Marjolin's ulcer in a patient under our care by analyzing the cell types, their frequencies, and their individual transcriptional responses within a burn scar versus within Marjolin's ulcer. To achieve this, we conducted single-cell RNA sequencing on two excised tissues: 1. a sample from the center of the tumor (tumor core), and 2. another sample from the margin of tumor-free scar tissue.",GSE251937,2024/07/21,Not Relevant,3/3,"This dataset discusses Marjolin's ulcers, which are aggressive cutaneous malignancies unrelated to lung cancer or its immunotherapy. It does not contribute to the exploration of lung cancer immunotherapies.; This dataset is focused on Marjolin ulcers, a type of skin cancer, which is not relevant to lung cancer or immunotherapy in the context of lung cancer.; This dataset focuses on Marjolin's ulcers, which are cutaneous malignancies and not directly related to lung cancer. The study highlights the characteristics and treatment of a different type of cancer, making it irrelevant to lung cancer immunotherapy. The information does not contribute to the understanding of lung cancer or immunotherapy."
5,200246354,GCN2 is a determinant of the response to WEE1 kinase inhibition in small-cell lung cancer,"Patients with small-cell lung cancer (SCLC) are in dire need of more effective therapeutic options. Frequent disruption of the G1 checkpoint in SCLC cells creates a greater dependency of these cells on the G2/M checkpoint to maintain genomic integrity. Indeed, in pre-clinical models, inhibiting the G2/M kinase WEE1 shows promise in inhibiting SCLC growth. However, toxicity and acquired resistance limit the clinical effectiveness of this strategy. Here we conducted CRISPR/Cas9 knockout screens to identify genes influencing the response of SCLC cells to WEE1 kinase inhibition. These screens uncovered a role for the GCN2 amino acid-sensing pathway in modulating the response of SCLC cells to WEE1 inhibition. Rapid activation of GCN2 upon WEE1 inhibition triggers a stress response. Pharmacological activation of the GCN2 pathway synergizes with WEE1 inhibition. Thus, activation of the GCN2 amino acid-sensing pathway represents a novel approach for augmenting the efficacy of WEE1 inhibitors in SCLC.",GSE246354,2024/07/16,Relevant,3/3,"This dataset addresses the response of small-cell lung cancer cells to WEE1 kinase inhibition. The findings may have implications for developing immunotherapy strategies, particularly with respect to enhancing therapeutic efficacy.; This dataset identifies factors influencing the response to WEE1 kinase inhibition in small-cell lung cancer, which is relevant for developing effective immunotherapy strategies.; This dataset addresses the response of small-cell lung cancer (SCLC) to WEE1 kinase inhibition, highlighting potential therapeutic strategies for lung cancer patients. The findings regarding the GCN2 pathway and its role in SCLC response to treatment are particularly relevant for advancing immunotherapy approaches. This study could contribute valuable knowledge to immunotherapy development for lung cancer."
6,200235092,Pre-existing skin-resident CD8 and γδ T cell circuits mediate immune response in Merkel cell carcinoma and Predict immunotherapy efficacy [bulkRNA-seq],Merkel Cell Carcinoma (MCC) is an aggressive skin cancer with limiterd treatment and low response rates to Immune Checkpoint Blockade (ICB) therapy. We compiled the largest sc database of MCC tumor samples and matched blood to identify tumor gener modules that Predict ICB response.,GSE235092,2024/07/24,Not Relevant,3/3,"This dataset pertains to Merkel cell carcinoma rather than lung cancer, focusing on immune checkpoint blockade responses in a different cancer type. Thus, it is not relevant to lung cancer immunotherapy.; This dataset pertains to Merkel cell carcinoma and does not focus on lung cancer or related immunotherapies.; This dataset focuses on Merkel cell carcinoma, a different cancer type, and its immune response mechanisms. While it discusses immunotherapy efficacy, its findings are not applicable to lung cancer research. The relevance is limited due to the specific focus on a distinct cancer type."
7,200246173,Comparison of the response of Col-0 and ate1 ate2 N-degron mutant to flg22,"Arabidopsis mutants of the N-degron pathway have been shown to be either susceptible or resistant to a wide range of pathogens. This includes mutants for the arginine-transferases (ate1-2 ate2-1) and for the downstream E3 ubiquitin ligase PRT6 (prt6). In addition, ate1-2 ate2-1 mutants have been shown to have dampened gene expression changes upon inoculation with Pseudomonas syringae AvrRpm1. Here, we tested whether ate1-2 ate2-1 mutants were impaired for pattern-triggered immunity (PTI) and determined gene expression changes of wild-type Col-0 and of ate1-2 ate2-1 mutant seedlings in the absence/pressence of flg22.",GSE246173,2024/07/24,Not Relevant,3/3,"This dataset focuses on Arabidopsis mutants and their response to pathogens, irrelevant to lung cancer or immunotherapy research.; This dataset studies Arabidopsis mutants and does not relate to lung cancer or immunotherapy.; This dataset examines Arabidopsis mutants and their responses to pathogens, which is unrelated to lung cancer or immunotherapy. The plant-based research does not provide insights or data relevant to human cancer treatment or lung cancer immunotherapy, making it irrelevant."
8,200245801,HMGA1 causes a global shift in chromatin architecture linked to transcriptional changes [RNA-Seq],"High Mobility Group A1 (HMGA1) is an architectural chromatin-binding protein that regulates gene expression in various biological contexts, including differentiation and cancer. While previous studies show that HMGA1 acts by binding specific gene promoters or by contributing to the enhanceosome, its global effect on transcription remains unclear. HMGA1 is also critical for the formation of senescence-associated heterochromatic foci (SAHF) in oncogene-induced senescence (OIS), a stable form of cell cycle arrest with a pro-inflammatory phenotype. This link between the two roles of HMGA1, gene regulation and chromatin organisation, has not been fully explained. Here, we used graph theory and data integration from high-throughput assays to investigate how HMGA1 binding impacts the chromatin interactions network. Our results demonstrate that HMGA1 profoundly remodels the global chromatin network during OIS and contributes to stronger compartmentalization. This remodelling goes beyond SAHF, leading to substantial gene repositioning and differential gene expression, highlighting a novel role for HMGA1 in altering chromatin environments. The HMGA1 effects of gene expression go beyond senescence and appear to be relevant in other contexts, such as lung cancer.",GSE245801,2024/07/08,Relevant,3/3,"This dataset discusses the role of HMGA1 in chromatin architecture shifts linked to cancer. It highlights potential mechanisms that could be targeted for immunotherapy approaches in lung cancer.; This dataset examines the role of HMGA1 in chromatin organization and gene expression changes in lung cancer, which can inform immunotherapy strategies.; This dataset discusses HMGA1's role in chromatin architecture and its implications for cancer, including lung cancer. Understanding chromatin remodeling and its effects on gene expression may provide insights into cancer progression and potential therapeutic targets, particularly in the context of developing immunotherapies. The findings are relevant for lung cancer research."
9,200270667,Single-cell sequencing highlights increased atypical AT2 interacting with M1 macrophage in COPD,"We have constructed a transcriptomic map of airways using lung tissues from three COPD (GOLD grade I) who underwent surgical resection for lung cancer. We performed 5' single-cell RNA sequencing (scRNA-seq) on three COPD and three control matched lung tissue, as well as the organoid samples.",GSE270667,2024/06/28,Not Relevant,3/3,"This dataset focuses on COPD rather than lung cancer specifically. The implications for immunotherapy in lung cancer are not addressed in this research.; This dataset focuses on COPD and does not specifically address lung cancer or immunotherapy.; This dataset focuses on COPD and its transcriptomic characteristics rather than lung cancer specifically. While it may provide insights into lung biology, it does not directly address the exploration of immunotherapies for lung cancer. The relevance to the specific query is limited."
