,ID,Title,Summary,Accession,Date,RelevanceScore,IndividualScores,Justifications
0,200270741,Ceramide metabolism alterations contribute to Tumor Necrosis Factor-induced melanoma dedifferentiation and predict resistance to immune checkpoint inhibitors in advanced melanoma patients [WM35],"Introduction: Advanced cutaneous melanoma is a skin cancer characterized by a poor prognosis and high metastatic potential. During metastatic spread, melanoma cells often undergo dedifferentiation toward an invasive phenotype, resulting in reduced expression of microphthalmia-associated transcription factor (MITF)-dependent melanoma antigens and facilitating immune escape. Tumor Necrosis Factor (TNF) is known to be a key factor in melanoma dedifferentiation. Interestingly, accumulating evidence suggests that TNF may play a role in melanoma progression and resistance to immunotherapies. Additionally, TNF has been identified as a potent regulator of sphingolipid (SL) metabolism, which could contribute to melanoma aggressiveness and the process of melanoma dedifferentiation. Methods: We conducted RNA sequencing and mass spectrometry analyses to investigate TNF-induced dedifferentiation in two melanoma cell lines. In vitro experiments were performed to manipulate sphingolipid metabolism using genetic or pharmacologic alterations in combination with TNF treatment, aiming to elucidate the potential involvement of this metabolism in TNF-induced dedifferentiation. Lastly, to evaluate the clinical significance of our findings, we performed unsupervised analysis of plasma sphingolipid levels in 48 patients receiving treatment with immune checkpoint inhibitors, either alone or in combination with anti-TNF therapy. Results: Herein, we demonstrate that TNF-induced melanoma cell dedifferentiation is associated with a global modulation of sphingolipid metabolism. Specifically, TNF decreases the expression and activity of acid ceramidase (AC), encoded by the ASAH1 gene, while increasing the expression of glucosylceramide synthase (GCS), encoded by the UGCG gene. Remarkably, knockdown of AC alone via RNA interference is enough to induce melanoma cell dedifferentiation. Furthermore, treatment with Eliglustat, a GCS inhibitor, inhibits TNF-induced melanoma cell dedifferentiation. Lastly, analysis of plasma samples from patients treated with immune checkpoint inhibitors, with or without anti-TNF therapy, revealed significant predictive sphingolipids. Notably, the top 8 predictive sphingolipids, including glycosphingolipids, were associated with a poor response to immunotherapy. Discussion: Our study highlights that ceramide metabolism alterations are causally involved in TNF-induced melanoma cell dedifferentiation and suggests that the evolution of specific ceramide metabolites in plasma may be considered as predictive biomarkers of resistance to immunotherapy.",GSE270741,2024/07/24,1.0,"[1, 1, 1]","Attempt 1: Score 1 - The dataset focuses on melanoma and immune checkpoint inhibitors in melanoma patients. Although it studies resistance to immunotherapy, it does not relate directly to lung cancer or its specific immunotherapy context.; Attempt 2: Score 1 - The dataset focuses on melanoma, not lung cancer, thus exhibiting minimal relevance. While it discusses immunotherapy resistance related to ceramide metabolism, the primary disease model is unrelated to the query.; Attempt 3: Score 1 - This dataset focuses on melanoma, which is not directly related to lung cancer. It explores TNF-induced dedifferentiation and resistance to immunotherapies in melanoma, rather than immunotherapies relevant to lung cancer specifically. While it discusses immune checkpoint inhibitors, which are also used in lung cancer, the primary focus on melanoma limits its direct relevance."
1,200270740,Ceramide metabolism alterations contribute to Tumor Necrosis Factor-induced melanoma dedifferentiation and predict resistance to immune checkpoint inhibitors in advanced melanoma patients [A375],"Introduction: Advanced cutaneous melanoma is a skin cancer characterized by a poor prognosis and high metastatic potential. During metastatic spread, melanoma cells often undergo dedifferentiation toward an invasive phenotype, resulting in reduced expression of microphthalmia-associated transcription factor (MITF)-dependent melanoma antigens and facilitating immune escape. Tumor Necrosis Factor (TNF) is known to be a key factor in melanoma dedifferentiation. Interestingly, accumulating evidence suggests that TNF may play a role in melanoma progression and resistance to immunotherapies. Additionally, TNF has been identified as a potent regulator of sphingolipid (SL) metabolism, which could contribute to melanoma aggressiveness and the process of melanoma dedifferentiation. Methods: We conducted RNA sequencing and mass spectrometry analyses to investigate TNF-induced dedifferentiation in two melanoma cell lines. In vitro experiments were performed to manipulate sphingolipid metabolism using genetic or pharmacologic alterations in combination with TNF treatment, aiming to elucidate the potential involvement of this metabolism in TNF-induced dedifferentiation. Lastly, to evaluate the clinical significance of our findings, we performed unsupervised analysis of plasma sphingolipid levels in 48 patients receiving treatment with immune checkpoint inhibitors, either alone or in combination with anti-TNF therapy. Results: Herein, we demonstrate that TNF-induced melanoma cell dedifferentiation is associated with a global modulation of sphingolipid metabolism. Specifically, TNF decreases the expression and activity of acid ceramidase (AC), encoded by the ASAH1 gene, while increasing the expression of glucosylceramide synthase (GCS), encoded by the UGCG gene. Remarkably, knockdown of AC alone via RNA interference is enough to induce melanoma cell dedifferentiation. Furthermore, treatment with Eliglustat, a GCS inhibitor, inhibits TNF-induced melanoma cell dedifferentiation. Lastly, analysis of plasma samples from patients treated with immune checkpoint inhibitors, with or without anti-TNF therapy, revealed significant predictive sphingolipids. Notably, the top 8 predictive sphingolipids, including glycosphingolipids, were associated with a poor response to immunotherapy. Discussion: Our study highlights that ceramide metabolism alterations are causally involved in TNF-induced melanoma cell dedifferentiation and suggests that the evolution of specific ceramide metabolites in plasma may be considered as predictive biomarkers of resistance to immunotherapy.",GSE270740,2024/07/24,1.0,"[1, 1, 1]","Attempt 1: Score 1 - Similar to the previous dataset, this study investigates melanoma and its resistance to immunotherapy. The relevance to lung cancer is minimal as it does not focus on lung cancer immunotherapies.; Attempt 2: Score 1 - Similar to dataset 200270741, this dataset also deals with melanoma and immune checkpoint inhibitors. Its relevance to lung cancer is minimal as it does not address lung tissues or associated cell types.; Attempt 3: Score 1 - Similar to the other dataset, this study targets melanoma rather than lung cancer. It discusses TNF-induced dedifferentiation and immune checkpoint inhibitors in melanoma patients. Although it touches on immunotherapies, the lack of direct relevance to lung cancer reduces its applicability for the query."
2,200267325,RNA profiling of CSF resident macrophages and monocyte-macrophages from leptomeningeal metastasis mice,"We investigated the functional effect of dura-derived leptomeningeal matastasis (LM)-associated macrophages (dLAMs) on the cerebrospinal fluid (CSF) niche during LM outgrowth. Using lung cancer leptomeningeal metastasis models of Cx3cr1CreER:mTmG mice with tamoxifen administration, we achieved dLAMs and monocyte-macrophages via fluorescence-activated cell sorting (FACS). Then we performed bulk RNAseq analysis for these two cell populations.",GSE267325,2024/07/24,7.0,"[6, 6, 9]","Attempt 1: Score 6 - This dataset analyzes macrophages from a lung cancer leptomeningeal metastasis model, reflecting some relevance to lung cancer and immune response dynamics. However, it does not focus directly on immunotherapy methods or outcomes.; Attempt 2: Score 6 - This dataset investigates macrophages involved in leptomeningeal metastases from lung cancer models. It directly relates to lung cancer and immune cell types, aligning well with the query on immunotherapy's exploration in lung cancer.; Attempt 3: Score 9 - This study is highly relevant as it investigates macrophages in the context of leptomeningeal metastasis arising from lung cancer. The focus on immune responses in lung cancer models aligns closely with the query about exploring immunotherapies for lung cancer, particularly in understanding how immune cells interact with tumors."
3,200267322,Single-cell atlas of dura cells from non-tumor or leptomeningeal metastasis mice,We performed scRNA-seq on the cells isolated from the dura mater in non-tumor control mice and leptomeningeal metastasis (LM) mice with LLC-LeptoM cell inoculation for 7 or 12 days.,GSE267322,2024/07/24,6.0,"[5, 5, 8]","Attempt 1: Score 5 - The study involves single-cell RNA sequencing related to lung cancer metastasis, suggesting relevance to immune responses in the context of lung cancer. However, it lacks direct insight into immunotherapy specifically.; Attempt 2: Score 5 - This dataset focuses on single-cell RNA sequencing from lung cancer model mice but lacks specific information on immunotherapies. It is moderately relevant due to its examination of cancer progression but lacks explicit detailing of responses to therapies.; Attempt 3: Score 8 - This dataset involves single-cell RNA sequencing of cells from the dura mater in both tumor and non-tumor mice, relevant to leptomeningeal metastasis associated with lung cancer. While not explicitly focused on immunotherapy, the underlying biological implications of immune cell behavior in the context of lung cancer metastasis are highly applicable."
4,200246173,Comparison of the response of Col-0 and ate1 ate2 N-degron mutant to flg22,"Arabidopsis mutants of the N-degron pathway have been shown to be either susceptible or resistant to a wide range of pathogens. This includes mutants for the arginine-transferases (ate1-2 ate2-1) and for the downstream E3 ubiquitin ligase PRT6 (prt6). In addition, ate1-2 ate2-1 mutants have been shown to have dampened gene expression changes upon inoculation with Pseudomonas syringae AvrRpm1. Here, we tested whether ate1-2 ate2-1 mutants were impaired for pattern-triggered immunity (PTI) and determined gene expression changes of wild-type Col-0 and of ate1-2 ate2-1 mutant seedlings in the absence/pressence of flg22.",GSE246173,2024/07/24,0.7,"[0, 0, 2]","Attempt 1: Score 0 - This dataset features Arabidopsis mutants responding to pathogens, which is entirely unrelated to lung cancer or immunotherapy in humans.; Attempt 2: Score 0 - This dataset focuses on plant models and immune responses to pathogens, with no relevance to immunotherapy or lung cancer.; Attempt 3: Score 2 - This dataset's focus on Arabidopsis mutants and plant pathogens does not align with the query about lung cancer immunotherapies. While it touches on immunity, the species and context differ significantly, leading to minimal relevance."
5,200241235,A novel adjuvant formulation induces robust Th1/Th17 memory and mucosal recall responses in Non-Human Primates,"After clean drinking water, vaccination is the most impactful global health intervention. However, development of new vaccines against difficult-to-target diseases is hampered by the lack of diverse adjuvants for human use. Of particular interest, none of the currently available adjuvants induce Th17 cells. Here, we develop and test an improved liposomal adjuvant, termed CAF®10b, that incorporates a TLR-9 agonist. In a head-to-head study in non-human primates (NHPs), immunization with antigen adjuvanted with CAF®10b induced significantly increased antibody and cellular immune responses compared to previous CAF® adjuvants, already in clinical trials. This was not seen in the mouse model, demonstrating that adjuvant effects can be highly species specific. Importantly, intramuscular immunization of NHPs with CAF®10b induced robust Th17 responses that were observed in circulation half a year after vaccination. Furthermore, subsequent instillation of unadjuvanted antigen into the skin and lungs of these memory animals led to significant recall responses including transient local lung inflammation observed by Positron Emission Tomography-Computed Tomography (PET-CT), elevated antibody titers, and expanded systemic and local Th1 and Th17 responses, including >20% antigen-specific T cells in the bronchoalveolar lavage. Overall, CAF®10b demonstrated an adjuvant able to drive true memory antibody, Th1 and Th17 vaccine-responses across rodent and primate species, supporting its translational potential.",GSE241235,2024/07/24,1.0,"[1, 0, 2]","Attempt 1: Score 1 - While this study involves vaccination and immune responses, it is conducted in non-human primates and does not address lung cancer or relevant therapeutics.; Attempt 2: Score 0 - This dataset pertains to vaccine development in non-human primates, with no connections to lung cancer or immunotherapies relevant to the research query.; Attempt 3: Score 2 - Although the study investigates vaccine adjuvants, it focuses on non-human primates and does not specifically address lung cancer immunotherapies. The relevance is limited due to the different focus on vaccines rather than direct lung cancer treatments."
6,200235093,Pre-existing skin-resident CD8 and γδ T cell circuits mediate immune response in Merkel cell carcinoma and Predict immunotherapy efficacy,This SuperSeries is composed of the SubSeries listed below.,GSE235093,2024/07/24,5.0,"[4, 5, 6]","Attempt 1: Score 4 - This dataset pertains to Merkel cell carcinoma and immunotherapy, which shares some relevant concepts to immune response but is focused on a different cancer type, limiting direct applicability to lung cancer.; Attempt 2: Score 5 - This dataset compiles analysis on Merkel cell carcinoma and includes references to immune responses and immunotherapy. Though lung cancer is not the focus, the immunotherapy aspect offers moderate relevance.; Attempt 3: Score 6 - This dataset provides insights about immune responses in Merkel cell carcinoma, which is a skin cancer. While relevant to immunotherapies, the specific focus on Merkel cell carcinoma reduces its applicability to lung cancer specifically."
7,200235092,Pre-existing skin-resident CD8 and γδ T cell circuits mediate immune response in Merkel cell carcinoma and Predict immunotherapy efficacy [bulkRNA-seq],Merkel Cell Carcinoma (MCC) is an aggressive skin cancer with limiterd treatment and low response rates to Immune Checkpoint Blockade (ICB) therapy. We compiled the largest sc database of MCC tumor samples and matched blood to identify tumor gener modules that Predict ICB response.,GSE235092,2024/07/24,5.0,"[4, 5, 6]","Attempt 1: Score 4 - Similar to the previous dataset, it investigates immune responses in Merkel cell carcinoma. While it is related to immunotherapy, the applicability to lung cancer is limited due to the different cancer type.; Attempt 2: Score 5 - This dataset studies Merkel cell carcinoma and response prediction to immunotherapy. While not directly lung cancer, its focus on aggressive cancers and immune responses makes it moderately relevant.; Attempt 3: Score 6 - This dataset examines tumor microenvironments and immune responses in Merkel cell carcinoma patients. Though it has relevance to immunotherapy, the lack of an explicit connection to lung cancer curtails its direct applicability."
8,200235091,Pre-existing skin-resident CD8 and γδ T cell circuits mediate immune response in Merkel cell carcinoma and Predict immunotherapy efficacy [scRNA_blood],Merkel Cell Carcinoma (MCC) is an aggressie skin cancer with limiterd treatment and low response rates to Immune Checkpoint Blockade (ICB) therapy. We compiled the largest sc database of MCC tumor samples and matched blood to identify tumor gener modules that Predict ICB response.,GSE235091,2024/07/24,5.0,"[4, 5, 6]","Attempt 1: Score 4 - This dataset also focuses on immunoresponses in Merkel cell carcinoma, again showing some relevance but limited applicability to lung cancer immunotherapy.; Attempt 2: Score 5 - Similar to ID 200235092, it discusses immune responses in Merkel cell carcinoma. Although lung cancer is not involved, insights regarding checkpoints in cancer could offer some relevance.; Attempt 3: Score 6 - Similar to the other datasets, this study focuses on Merkel cell carcinoma's immune response, providing useful insights into immunotherapy but lacking direct relevance to lung cancer."
9,200235090,Pre-existing skin-resident CD8 and γδ T cell circuits mediate immune response in Merkel cell carcinoma and Predict immunotherapy efficacy [scRNA_tissue],Merkel Cell Carcinoma (MCC) is an aggressie skin cancer with limiterd treatment and low response rates to Immune Checkpoint Blockade (ICB) therapy. We compiled the largest sc database of MCC tumor samples and matched blood to identify tumor gener modules that Predict ICB response.,GSE235090,2024/07/24,5.0,"[4, 5, 6]","Attempt 1: Score 4 - This study is aligned with the previous datasets on Merkel cell carcinoma, retaining some relevant content related to immunotherapy but lacking direct correlation with lung cancer.; Attempt 2: Score 5 - Focusing on Merkel cell carcinoma and immunotherapy efficacy, this dataset shares similarities with other datasets but does not directly address lung cancer.; Attempt 3: Score 6 - This dataset contains similar information to other studies about Merkel cell carcinoma and offers insights on immune response and therapies but does not address lung cancer specifically."
