,ID,Title,Summary,Species,Accession,Date,RelevanceScore,IndividualScore1,IndividualScore2,IndividualScore3,Justification1,Justification2,Justification3
0,200236306,"Chromatin accessibility profiling in wild-type naïve, 1h, or 24h in vitro stimulated P14 CD8+ T cells","To investigate the kinetics of chromatin accessibility dynamics in activated CD8+ T cells, we stimulated naïve P14 CD8+ T cells in vitro for 0h, 1h, or 24h We then performed chromatin accessibility profiling analysis by ATAC-seq",Mus musculus,GSE236306,2024/06/03,2.0,2.0,2.0,2.0,"This dataset focuses on chromatin accessibility in CD8+ T cells, which is relevant to immune responses. However, it does not specifically address lung cancer or immunotherapy, limiting its direct applicability to the research query.","This dataset focuses on chromatin accessibility in CD8+ T cells, which are relevant to immunotherapy. However, it does not specifically address lung cancer or immunotherapies for lung cancer, limiting its direct applicability to the query.","This dataset focuses on chromatin accessibility in CD8+ T cells, which is somewhat related to immunotherapy but does not specifically address lung cancer or the immune response in that context. The major aspect of T cell activation is relevant, but the lack of direct connection to lung cancer limits its applicability."
1,200242839,PD-1 is induced on tumor-associated macrophages in obesity to directly restrain anti-tumor immunity,"Obesity is a leading risk factor for progression and metastasis of many cancers1,2, yet can also promote improved survival for some cancers3-5 and enhance responses to some immune checkpoint blockade therapies6-8. The role of the immune system in the obesity-cancer connection and how obesity influences immunotherapy, however, remain unclear. While PD-1 expression by macrophages has been described9-12, we found that obesity selectively induced PD-1 on macrophages and that PD-1 directly impaired macrophage function. Single cell RNA sequencing of murine colorectal carcinoma tumors showed obesity remodeled myeloid and T cell populations, with fewer clonally expanded effector T cells and increased abundance of PD-1+ tumor-associated macrophages (TAM). Cytokines and molecules associated with obesity, including IL-6, leptin, and insulin, and the unsaturated fatty acid palmitate, induced PD-1 expression on macrophages in a glycolysis-dependent manner and that MTORC1 pathway signaling is essential for PD1 expression. PD-1+ TAMs had increased mitochondrial respiration, fatty acid metabolism and cell cylewhile PD-1- TAMs had increased inflammatory signature , phagocytosis and antigen presentation to T cells. These patterns were directly regulated by PD-1, as recombinant PD-L1 reduced macrophage glycolysis, phagocytic capacity and antigen presentation, and this was reversed with blocking PD-1 antibody. Further, inhibition of glycolysis with 2-deoxyglucose prevented the increase in CD86, MHC-I and MHC-II that would otherwise occur with anti-PD-1 treatment. Conversely, PD-1-deficient Pdcd1-/- TAMs had high rates of glycolysis, phagocytosis, and expression of MHC-II. Myeloid-specific PD-1 deficiency correlated with slower tumor growth, enhanced TAM antigen presentation capability, and increased CD8 T cell activation together with reduced markers of exhaustion. These findings show metabolic signaling and type 1 inflammatory cues in obesity induces PD-1-mediated suppression of TAM function and reveal a unique macrophage-specific and glycolysis-dependent mechanism to modulate immune tumor surveillance and checkpoint blockade. This may contribute to increased cancer risk yet improved response to PD-1 blockade in TAM-enriched tumors and obesity.",Homo sapiens; Mus musculus,GSE242839,2024/07/19,7.3,8.0,8.0,6.0,"This dataset investigates the role of PD-1 on tumor-associated macrophages in the context of obesity and its implications for anti-tumor immunity. It directly relates to immunotherapy and cancer, making it highly relevant to lung cancer research.","This dataset investigates the role of PD-1 on tumor-associated macrophages in obesity and its implications for anti-tumor immunity. It is highly relevant to lung cancer immunotherapy, particularly in understanding immune checkpoint mechanisms, although it does not focus solely on lung cancer.","This dataset investigates the role of PD-1 on tumor-associated macrophages in the context of obesity and its implications for anti-tumor immunity. While it does not directly focus on lung cancer, the mechanisms of immune response and checkpoint inhibition are relevant to immunotherapy strategies for lung cancer."
2,200244104,Targeting DHX9 triggers interferon response and replication stress in Small Cell Lung Cancer [RIP-seq I],"Activating innate immunity in cancer cells through cytoplasmic nucleic acid sensing pathways, a phenomenon known as “viral mimicry”, has emerged as an effective strategy to convert immunologically “cold” tumors into “hot”. Through a curated CRISPR-based screen of RNA Helicases, we identified DExD/H-box helicase 9 (DHX9) as a potent repressor of double-stranded RNA (dsRNA) in small cell lung cancers (SCLCs). Depletion of DHX9 induced accumulation of cytoplasmic dsRNA and triggered tumor-intrinsic innate immunity. Intriguingly, ablating DHX9 also induced aberrant accumulation of R-loops, which resulted in an increase of DNA damage-derived cytoplasmic DNA and replication stress in SCLCs. In vivo, DHX9 deletion promoted decrease in tumor growth while inducing a more immunogenic tumor microenvironment, invigorating responsiveness to immune checkpoint blockade. These findings suggest that DHX9 is a crucial repressor of tumor-intrinsic innate immunity and replication stress, representing a promising target for SCLC and other “cold” tumors where genomic instability contribute to pathology.",Homo sapiens,GSE244104,2024/02/01,9.0,9.0,9.0,9.0,"This dataset explores the role of DHX9 in small cell lung cancer, highlighting its impact on tumor immunity and responsiveness to immune checkpoint blockade. The focus on lung cancer and immunotherapy makes it extremely relevant to the research query.","This dataset explores the role of DHX9 in small cell lung cancer (SCLC) and its effects on tumor immunity. It directly addresses lung cancer and discusses mechanisms that enhance immunogenicity, making it extremely relevant to the query.","This dataset explores the role of DHX9 in small cell lung cancer, highlighting its impact on innate immunity and response to immune checkpoint blockade. The focus on lung cancer and immunogenicity makes it highly relevant to the query regarding immunotherapies for lung cancer."
3,200202543,Joint single-cell transcriptomics and epigenomics analysis reveal key regulators of CAR T cell stemness and antitumor immunity,"In this study, we revealed the molecular network governing the differentiation of CAR T cells into transcriptionally and epigenetically distinct subsets. Using two mouse cancer models with different sensitivities to CAR T-cell therapy, we showed that CD8+ CAR T cells transitioned from the stem-like to effector-like subset in B-cell ALL but developed into exhausted T cells in the solid tumor. By simultaneously profiling transcriptomic and epigenomic analyses in single cells, we demonstrated that lineage-defining TFs were often controlled by exceptionally high numbers of cis-regulatory elements and regulated distinct chromatin states foreshadowing transcriptional changes during T cell differentiation. Different CAR T-cell subsets were governed by distinct gene regulatory networks with TFs as hubs. We showed that FOXP1 was a hub TF in the stem-like network and promoted the antitumor response and stemness of CAR T cells while limiting their transition to the effector-like subset. In contrast, KLF2, a hub TF in the effector-like network, controlled the lineage choice between effector-like and exhausted subsets by driving the effector program and suppressing the exhaustion program.",Mus musculus,GSE202543,2023/10/09,5.0,5.0,5.0,5.0,"This dataset examines CAR T cell differentiation and antitumor immunity, which is relevant to immunotherapy. However, it does not specifically focus on lung cancer, which reduces its direct applicability.","This dataset examines CAR T cell differentiation and antitumor immunity, which is relevant to immunotherapy. However, it does not specifically focus on lung cancer, which limits its direct relevance to the query.","This dataset examines CAR T cell differentiation and its implications for anti-tumor immunity, which is relevant to immunotherapy. However, it does not specifically focus on lung cancer, which limits its direct applicability to the query."
4,200267560,Microenvironment Shapes Small Cell Lung Cancer Neuroendocrine States and Presents Therapeutic Opportunities [DMS273 SCLC cell lines],"Small-cell lung cancer (SCLC) is the most fatal form of lung cancer. Intra-tumoral heterogeneity, marked by neuroendocrine (NE) and non-neuroendocrine (non-NE) cell states, defines SCLC, but the drivers of SCLC plasticity are poorly understood. To map the landscape of SCLC tumor microenvironment (TME), we apply spatially resolved transcriptomics and quantitative mass spectrometry-based proteomics to metastatic SCLC tumors obtained via rapid autopsy. The phenotype and overall composition of non-malignant cells in the tumor microenvironment (TME) exhibits substantial variability, closely mirroring the tumor phenotype, suggesting TME-driven reprogramming of NE cell states. We identify cancer-associated fibroblasts (CAF) as a crucial element of SCLC TME heterogeneity, contributing to immune exclusion, and predicting exceptionally poor prognosis. Together, our work provides a comprehensive map of SCLC tumor and TME ecosystems, emphasizing their pivotal role in SCLCs adaptable nature, opening possibilities for re-programming the intercellular communications that shape SCLC tumor states.",Homo sapiens,GSE267560,2024/05/16,8.0,7.0,9.0,8.0,"This dataset maps the tumor microenvironment in small cell lung cancer, identifying factors that contribute to its heterogeneity and therapeutic opportunities. Its focus on lung cancer and the immune microenvironment makes it highly relevant.",This dataset provides insights into the tumor microenvironment of small cell lung cancer (SCLC) and its implications for therapy. It is highly relevant as it addresses lung cancer and potential therapeutic strategies.,"This dataset provides insights into the tumor microenvironment of small cell lung cancer, which is critical for understanding therapeutic opportunities. The focus on SCLC aligns well with the query on lung cancer immunotherapies, making it very relevant."
5,200154027,A single-cell chromatin accessibility map of pulmonary alveologenesis in humans and mice,"Regulation of lung responses to air breathing and continued alveolar development shape ex-utero and adult respiratory health.  Applying single-cell transposome hypersensitive site sequencing (scTHS-seq) to human and mouse lung, we assembled a regulatory atlas of postnatal lung development and analyzed over 80,000 single-cells.  From day of life 1, we characterized cell types and cell-cell interactions driving alveoli generation.  We elucidated key transcription factor-gene accessibility modules (TF-GAM) guiding alveolar epithelial cell differentiation and epithelial-mesenchymal interactions involved in alveolar septation and mechanotransduction.  Incorporating GWAS causal variants, we identified lung pathogenic risk units enriched in specific cell types.  Our regulatory map and analysis model provide an effective resource to investigate age-dependent and species-specific control of critical developmental processes.  Furthermore, this resource complements single-cell atlas efforts to advance our understanding of lung health and disease across the human lifespan.",Homo sapiens; Mus musculus,GSE154027,2020/12/31,3.7,4.0,4.0,3.0,"While this dataset provides insights into lung development and cellular interactions, it does not specifically address lung cancer or immunotherapy, limiting its relevance to the research query.","This dataset focuses on lung development and cell interactions in the lung but does not specifically address lung cancer or immunotherapy, making it moderately relevant.",This dataset focuses on lung development and cellular interactions in the lung but does not specifically address lung cancer or immunotherapy. The relevance is limited due to the absence of a direct connection to cancer or immunotherapy.
6,200208770,Targeted alveolar regeneration with Frizzled-specific agonists,"Wnt ligands oligomerize Frizzled (Fzd) and Lrp5/6 receptors to control the specification and activity of stem cells in many species. How Wnt is selectively activated in different stem cell populations, often within the same organ, is not understood. In lung alveoli, wherein Wnt-dependent epithelial and stromal progenitors are intermingled, we show that distinct Wnt receptors are expressed by epithelial (Fzd5/6), endothelial (Fzd4), and stromal (Fzd1) cells. Moreover, Fzd5 was uniquely required for alveolar epithelial stem cell activity. However, by developing an expanded repertoire of Fzd-Lrp agonists (FLAgs), we could activate canonical Wnt signaling in alveolar epithelial stem cells via either Fzd5 or, unexpectedly, non-canonical Fzd6. Fzd5 and Fzd6 FLAgs stimulated supra-physiological alveolar epithelial stem cell activity in mice following lung injury, but only Fzd6 FLAg promoted an alveolar fate in airway-derived progenitors. Therefore, we identify a potential strategy for promoting regeneration without exacerbating fibrosis during lung injury.",Mus musculus,GSE208770,2023/06/16,2.7,3.0,3.0,2.0,"This dataset focuses on Wnt signaling in alveolar regeneration, which is related to lung biology but does not specifically address lung cancer or immunotherapy, resulting in lower relevance.","This dataset investigates Wnt signaling in lung alveoli but does not directly relate to lung cancer or immunotherapy, resulting in low relevance.","This dataset investigates Wnt signaling in lung alveoli but does not focus on lung cancer or immunotherapy. While it pertains to lung biology, the lack of relevance to cancer limits its applicability."
7,200233097,STAT3 inhibition permits epigenetic reprogramming and TLR9/IRF8-driven differentiation of inv(16) acute myeloid leukemia [RRBS],"Cultured acute myeloid leukemia (AML) blasts can differentiate into antigen-presenting cells but achieving leukemic cell immunogenicity proved challenging in clinical setting. Despite expressing multiple immunostimulatory receptors, such as Toll-like Receptor 9 (TLR9), AML cells resist immunostimulation. We previously demonstrated that eliminating Signal Transducer and Activator of Transcription 1 and 3 (STAT1/3) signaling in AML cells using decoy DNA strategy (CpG-STAT3dODN) synergized with TLR9 stimulation and resulted in T cell-mediated leukemia regression. Here, we interrogated the molecular underpinnings of CpG-STAT3dODN-driven differentiation and immunogenicity of mouse Cbfb/MYH11/Mpl AML. The transcriptional profiling of AML cells isolated from mice after inducible Stat3 silencing plus TLR9 stimulation or CpG-STAT3dODN treatment, revealed comparable upregulation of genes related to myeloid cell differentiation (Irf8, Cebpa) and immune stimulation (Gadd45a, Ciita, Il12a, Ifng) but decreased expression of leukemia-promoting Runx1 and Run1t1. The conditional Irf8 silencing in AML cells almost completely abrogated TLR9-driven leukemia cell differentiation. The AML cell reprogramming by CpG-STAT3dODN was likely regulated epigenetically as revealed by reduced global promoter hypomethylation of crucial myeloid cell differentiation and immune activation genes. These changes were associated with reduced expression of known STAT3 targets, DNMT1 and DNMT3a/b. Finally, we provide initial evidence of anti-leukemic effects of CpG-STAT3 inhibitor against human AML model in humanized mice. Our studies suggest that, beyond oncogenic functions, STAT3 in AML cells may be a primary checkpoint in control of immune-stimulatory and differentiation driving effects. These findings support further development of CpG-STAT3 inhibitors as a new bi-functional agents for AML immunotherapy.",Mus musculus,GSE233097,2024/07/23,2.7,2.0,2.0,4.0,"This dataset investigates AML and TLR9 stimulation, which is somewhat related to immunotherapy but does not focus on lung cancer, making it less relevant to the research query.","This dataset focuses on acute myeloid leukemia and its immunogenicity, which is not directly related to lung cancer or immunotherapy, leading to low relevance.","This dataset studies AML and T cell differentiation, which is somewhat relevant to immunotherapy. However, it does not directly address lung cancer, which reduces its overall relevance to the query."
8,200246742,MBNL1 regulates programmed postnatal switching between regenerative and differentiated cardiac states [RIP-seq],"Background: Discovering determinants of cardiomyocyte maturity will be critical to understanding the maintenance of differentiated states and potentially reawakening endogenous regenerative programs in adult mammalian hearts as a therapeutic strategy. Recent evidence has suggested that forced dedifferentiation paired with oncogene expression is sufficient to drive cardiac regeneration. However, elucidation of endogenous developmental determinants of the switch between regenerative and mature cardiomyocyte cell states is necessary for optimal design of regenerative approaches for heart disease. Muscleblind-like 1 (MBNL1) regulates both fibroblast and erythroid differentiation and proliferation. Hence, we examined whether MBNL1 promotes and maintains mature cardiomyocyte states while antagonizing cardiomyocyte proliferation. Methods: MBNL1 gain- and loss-of-function mouse models were studied at several developmental timepoints and in surgical models of heart regeneration. Multi-omics approaches were combined with biochemical, histological, and in vitro genetic work to determine the mechanisms through which MBNL1 exerts its effects. Results: MBNL1 is co-expressed with a maturation-association genetic program in the heart and is regulated by the MEIS1/Calcineurin signaling axis. Targeted MBNL1 overexpression early in development prematurely transitioned cardiomyocytes to hypertrophic growth, hypoplasia, and dysfunction, while loss of MBNL1 function increased cardiomyocyte cell cycle entry and proliferation through altered cell cycle inhibitor transcript stability. Moreover, MBNL1-dependent stabilization of estrogen-related receptor signaling was essential for maintaining cardiomyocyte maturity in adult myocytes. In accordance with these data, modulating MBNL1 dose tuned the temporal window of neonatal cardiac regeneration, where increased MBNL1 expression arrested myocyte proliferation and regeneration, and MBNL1 deletion promoted regenerative states with prolonged myocyte proliferation. However, MBNL1 deletion was not sufficient to promote regeneration in the adult heart due to cell-cycle checkpoint activation. Conclusions: Here, MBNL1 was identified as an essential regulator of cardiomyocyte differentiated states, their developmental switch from hyperplastic to hypertrophic growth, and their regenerative potential through controlling an entire maturation program by stabilizing adult myocyte mRNAs during postnatal development and throughout adulthood. Additionally, MBNL1-dependent perturbations of a myocyte’s preferred growth mechanism at a given developmental state had detrimental consequences to cardiac function, and targeting loss of maturity and removing cell cycle inhibitors was not insufficient to promote adult regeneration.",Rattus norvegicus,GSE246742,2024/03/07,1.0,1.0,1.0,1.0,"This dataset focuses on cardiac states and regeneration, which is unrelated to lung cancer or immunotherapy, resulting in minimal relevance.","This dataset examines cardiac states and regeneration, which is not related to lung cancer or immunotherapy, resulting in minimal relevance.",This dataset focuses on cardiomyocyte states and does not relate to lung cancer or immunotherapy. The lack of any relevant biological concepts makes it minimally relevant.
9,200239682,Inhibition of miR-497-5p improves keratinocyte function upon skin exposure to sulfur mustard,"Sulfur mustard (SM) is a hazardous chemical warfare agent. Exposure to SM results in various pathologies including skin lesions and impaired wound healing. To date, there are no effective treatments available. Here we discover that the miRNA miR-497-5p is induced in epidermal cells by SM and mediates keratinocyte dysfunction. Transcriptome analysis using RNA-seq in normal human epidermal keratinocytes (NHEK) revealed that SM evoked differential expression of 1,896 mRNAs and 25 miRNAs with many of these RNAs known to be involved in keratinocyte function and wound healing. We demonstrated that keratinocyte differentiation and proliferation were efficiently regulated by miRNAs induced in skin cells after exposure to SM. The inhibition of miR-497-5p counteracted SM-induced premature differentiation and inhibition of proliferation in NHEK. In addition, we showed that microneedle-mediated transdermal application of lipid-nanoparticles containing miR-497-5p inhibitor improved the healing of human skin biopsies upon exposure to SM. Our findings expand the current understanding of SM-associated molecular toxicology in keratinocytes and highlight miR-497-5p as feasible clinical target for specific skin therapy in SM-exposed patients and beyond.",Homo sapiens,GSE239682,2024/07/27,1.3,1.0,1.0,2.0,"This dataset studies keratinocyte function in response to sulfur mustard exposure, which is unrelated to lung cancer or immunotherapy, leading to minimal relevance.","This dataset focuses on skin exposure to sulfur mustard and keratinocyte function, which is unrelated to lung cancer or immunotherapy, leading to minimal relevance.","This dataset addresses keratinocyte function in response to sulfur mustard exposure, which is unrelated to lung cancer or immunotherapy. The focus on skin pathology limits its relevance to the query."
