GSM,SRX,SRR,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1.0.strain,characteristics_ch1.1.cell type,molecule_ch1,extract_protocol_ch1,description,data_processing,platform_id,contact_name,contact_email,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,series_id,data_row_count
GSM3023991,SRX3744077,SRR6784355,MP replicate1,GSM3023991,Public on Apr 19 2018,Feb 26 2018,Apr 19 2018,SRA,1,Sorted Day 8 Post LCMV-Arm Infection CD8+ T cells,Mus musculus,10090,C57BL/6,Flow Sorted CD127+ KLRG1- CD8+ T cells,total RNA,"oligo(dT) priming and SMART-Seq v5 ultra low input RNA KIT,Strand specific paired end libraries were made using the TruSeq stranded total RNA kit. Samples were DNAseI treated.",WT_RNA-Seq,"Bowtie2,HT-Seq Count,DESEQ2,Genome_build: UCSC mm9,Supplementary_files_format_and_content: HT-Seq Count raw conuts",GPL19057,"Adam,,Getzler",agetzler@scripps.edu,TSRI-FL,130 Scripps Way,Jupiter,FL,33458-5284,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08610801,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3744077",NONE,"GSE111143,GSE111149",0
GSM3023991,SRX3744077,SRR6784356,MP replicate1,GSM3023991,Public on Apr 19 2018,Feb 26 2018,Apr 19 2018,SRA,1,Sorted Day 8 Post LCMV-Arm Infection CD8+ T cells,Mus musculus,10090,C57BL/6,Flow Sorted CD127+ KLRG1- CD8+ T cells,total RNA,"oligo(dT) priming and SMART-Seq v5 ultra low input RNA KIT,Strand specific paired end libraries were made using the TruSeq stranded total RNA kit. Samples were DNAseI treated.",WT_RNA-Seq,"Bowtie2,HT-Seq Count,DESEQ2,Genome_build: UCSC mm9,Supplementary_files_format_and_content: HT-Seq Count raw conuts",GPL19057,"Adam,,Getzler",agetzler@scripps.edu,TSRI-FL,130 Scripps Way,Jupiter,FL,33458-5284,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08610801,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3744077",NONE,"GSE111143,GSE111149",0
GSM3023991,SRX3744077,SRR6784357,MP replicate1,GSM3023991,Public on Apr 19 2018,Feb 26 2018,Apr 19 2018,SRA,1,Sorted Day 8 Post LCMV-Arm Infection CD8+ T cells,Mus musculus,10090,C57BL/6,Flow Sorted CD127+ KLRG1- CD8+ T cells,total RNA,"oligo(dT) priming and SMART-Seq v5 ultra low input RNA KIT,Strand specific paired end libraries were made using the TruSeq stranded total RNA kit. Samples were DNAseI treated.",WT_RNA-Seq,"Bowtie2,HT-Seq Count,DESEQ2,Genome_build: UCSC mm9,Supplementary_files_format_and_content: HT-Seq Count raw conuts",GPL19057,"Adam,,Getzler",agetzler@scripps.edu,TSRI-FL,130 Scripps Way,Jupiter,FL,33458-5284,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08610801,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3744077",NONE,"GSE111143,GSE111149",0
GSM3023991,SRX3744077,SRR6784358,MP replicate1,GSM3023991,Public on Apr 19 2018,Feb 26 2018,Apr 19 2018,SRA,1,Sorted Day 8 Post LCMV-Arm Infection CD8+ T cells,Mus musculus,10090,C57BL/6,Flow Sorted CD127+ KLRG1- CD8+ T cells,total RNA,"oligo(dT) priming and SMART-Seq v5 ultra low input RNA KIT,Strand specific paired end libraries were made using the TruSeq stranded total RNA kit. Samples were DNAseI treated.",WT_RNA-Seq,"Bowtie2,HT-Seq Count,DESEQ2,Genome_build: UCSC mm9,Supplementary_files_format_and_content: HT-Seq Count raw conuts",GPL19057,"Adam,,Getzler",agetzler@scripps.edu,TSRI-FL,130 Scripps Way,Jupiter,FL,33458-5284,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08610801,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3744077",NONE,"GSE111143,GSE111149",0
GSM3023992,SRX3744078,SRR6784359,MP replicate2,GSM3023992,Public on Apr 19 2018,Feb 26 2018,Apr 19 2018,SRA,1,Sorted Day 8 Post LCMV-Arm Infection CD8+ T cells,Mus musculus,10090,C57BL/6,Flow Sorted CD127+ KLRG1- CD8+ T cells,total RNA,"oligo(dT) priming and SMART-Seq v5 ultra low input RNA KIT,Strand specific paired end libraries were made using the TruSeq stranded total RNA kit. Samples were DNAseI treated.",WT_RNA-Seq,"Bowtie2,HT-Seq Count,DESEQ2,Genome_build: UCSC mm9,Supplementary_files_format_and_content: HT-Seq Count raw conuts",GPL19057,"Adam,,Getzler",agetzler@scripps.edu,TSRI-FL,130 Scripps Way,Jupiter,FL,33458-5284,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08610800,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3744078",NONE,"GSE111143,GSE111149",0
GSM3023992,SRX3744078,SRR6784360,MP replicate2,GSM3023992,Public on Apr 19 2018,Feb 26 2018,Apr 19 2018,SRA,1,Sorted Day 8 Post LCMV-Arm Infection CD8+ T cells,Mus musculus,10090,C57BL/6,Flow Sorted CD127+ KLRG1- CD8+ T cells,total RNA,"oligo(dT) priming and SMART-Seq v5 ultra low input RNA KIT,Strand specific paired end libraries were made using the TruSeq stranded total RNA kit. Samples were DNAseI treated.",WT_RNA-Seq,"Bowtie2,HT-Seq Count,DESEQ2,Genome_build: UCSC mm9,Supplementary_files_format_and_content: HT-Seq Count raw conuts",GPL19057,"Adam,,Getzler",agetzler@scripps.edu,TSRI-FL,130 Scripps Way,Jupiter,FL,33458-5284,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08610800,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3744078",NONE,"GSE111143,GSE111149",0
GSM3023992,SRX3744078,SRR6784361,MP replicate2,GSM3023992,Public on Apr 19 2018,Feb 26 2018,Apr 19 2018,SRA,1,Sorted Day 8 Post LCMV-Arm Infection CD8+ T cells,Mus musculus,10090,C57BL/6,Flow Sorted CD127+ KLRG1- CD8+ T cells,total RNA,"oligo(dT) priming and SMART-Seq v5 ultra low input RNA KIT,Strand specific paired end libraries were made using the TruSeq stranded total RNA kit. Samples were DNAseI treated.",WT_RNA-Seq,"Bowtie2,HT-Seq Count,DESEQ2,Genome_build: UCSC mm9,Supplementary_files_format_and_content: HT-Seq Count raw conuts",GPL19057,"Adam,,Getzler",agetzler@scripps.edu,TSRI-FL,130 Scripps Way,Jupiter,FL,33458-5284,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08610800,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3744078",NONE,"GSE111143,GSE111149",0
GSM3023992,SRX3744078,SRR6784362,MP replicate2,GSM3023992,Public on Apr 19 2018,Feb 26 2018,Apr 19 2018,SRA,1,Sorted Day 8 Post LCMV-Arm Infection CD8+ T cells,Mus musculus,10090,C57BL/6,Flow Sorted CD127+ KLRG1- CD8+ T cells,total RNA,"oligo(dT) priming and SMART-Seq v5 ultra low input RNA KIT,Strand specific paired end libraries were made using the TruSeq stranded total RNA kit. Samples were DNAseI treated.",WT_RNA-Seq,"Bowtie2,HT-Seq Count,DESEQ2,Genome_build: UCSC mm9,Supplementary_files_format_and_content: HT-Seq Count raw conuts",GPL19057,"Adam,,Getzler",agetzler@scripps.edu,TSRI-FL,130 Scripps Way,Jupiter,FL,33458-5284,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08610800,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3744078",NONE,"GSE111143,GSE111149",0
GSM3023993,SRX3744079,SRR6784363,MP replicate3,GSM3023993,Public on Apr 19 2018,Feb 26 2018,Apr 19 2018,SRA,1,Sorted Day 8 Post LCMV-Arm Infection CD8+ T cells,Mus musculus,10090,C57BL/6,Flow Sorted CD127+ KLRG1- CD8+ T cells,total RNA,"oligo(dT) priming and SMART-Seq v5 ultra low input RNA KIT,Strand specific paired end libraries were made using the TruSeq stranded total RNA kit. Samples were DNAseI treated.",WT_RNA-Seq,"Bowtie2,HT-Seq Count,DESEQ2,Genome_build: UCSC mm9,Supplementary_files_format_and_content: HT-Seq Count raw conuts",GPL19057,"Adam,,Getzler",agetzler@scripps.edu,TSRI-FL,130 Scripps Way,Jupiter,FL,33458-5284,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08610808,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3744079",NONE,"GSE111143,GSE111149",0
GSM3023993,SRX3744079,SRR6784364,MP replicate3,GSM3023993,Public on Apr 19 2018,Feb 26 2018,Apr 19 2018,SRA,1,Sorted Day 8 Post LCMV-Arm Infection CD8+ T cells,Mus musculus,10090,C57BL/6,Flow Sorted CD127+ KLRG1- CD8+ T cells,total RNA,"oligo(dT) priming and SMART-Seq v5 ultra low input RNA KIT,Strand specific paired end libraries were made using the TruSeq stranded total RNA kit. Samples were DNAseI treated.",WT_RNA-Seq,"Bowtie2,HT-Seq Count,DESEQ2,Genome_build: UCSC mm9,Supplementary_files_format_and_content: HT-Seq Count raw conuts",GPL19057,"Adam,,Getzler",agetzler@scripps.edu,TSRI-FL,130 Scripps Way,Jupiter,FL,33458-5284,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08610808,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3744079",NONE,"GSE111143,GSE111149",0
