sample_ID	experiment	SRA_ID
GSM8432354	SRX25524115	SRR30049717
GSM8432353	SRX25524114	SRR30049722
GSM8432352	SRX25524113	SRR30049718
GSM8432351	SRX25524112	SRR30049721
GSM8432350	SRX25524111	SRR30049719
GSM8443197	SRX25627136	SRR30159864
GSM8432349	SRX25524110	SRR30049720
GSM8443196	SRX25627135	SRR30159865
GSM8432348	SRX25524109	SRR30049723
GSM8443195	SRX25627134	SRR30159866
GSM8432347	SRX25524108	SRR30049724
GSM8443194	SRX25627133	SRR30159867
GSM8432346	SRX25524107	SRR30049727
GSM8443193	SRX25627132	SRR30159868
GSM8443192	SRX25627131	SRR30159869
GSM8443191	SRX25627130	SRR30159870
GSM8443190	SRX25627129	SRR30159871
GSM8443189	SRX25627128	SRR30159872
GSM8443188	SRX25627127	SRR30159873
GSM8443187	SRX25627126	SRR30159874
GSM8443186	SRX25627125	SRR30159875
GSM8443185	SRX25627124	SRR30159876
GSM8443184	SRX25627123	SRR30159877
GSM8432345	SRX25524106	SRR30049725
GSM8432344	SRX25524105	SRR30049726
GSM8432343	SRX25524104	SRR30049728
GSM8432342	SRX25524103	SRR30049729
