,ID,Title,Summary,Accession,Date,Relevance,RelevanceConfidence,Justification
0,200270741,Ceramide metabolism alterations contribute to Tumor Necrosis Factor-induced melanoma dedifferentiation and predict resistance to immune checkpoint inhibitors in advanced melanoma patients [WM35],"Introduction: Advanced cutaneous melanoma is a skin cancer characterized by a poor prognosis and high metastatic potential. During metastatic spread, melanoma cells often undergo dedifferentiation toward an invasive phenotype, resulting in reduced expression of microphthalmia-associated transcription factor (MITF)-dependent melanoma antigens and facilitating immune escape. Tumor Necrosis Factor (TNF) is known to be a key factor in melanoma dedifferentiation. Interestingly, accumulating evidence suggests that TNF may play a role in melanoma progression and resistance to immunotherapies. Additionally, TNF has been identified as a potent regulator of sphingolipid (SL) metabolism, which could contribute to melanoma aggressiveness and the process of melanoma dedifferentiation. Methods: We conducted RNA sequencing and mass spectrometry analyses to investigate TNF-induced dedifferentiation in two melanoma cell lines. In vitro experiments were performed to manipulate sphingolipid metabolism using genetic or pharmacologic alterations in combination with TNF treatment, aiming to elucidate the potential involvement of this metabolism in TNF-induced dedifferentiation. Lastly, to evaluate the clinical significance of our findings, we performed unsupervised analysis of plasma sphingolipid levels in 48 patients receiving treatment with immune checkpoint inhibitors, either alone or in combination with anti-TNF therapy. Results: Herein, we demonstrate that TNF-induced melanoma cell dedifferentiation is associated with a global modulation of sphingolipid metabolism. Specifically, TNF decreases the expression and activity of acid ceramidase (AC), encoded by the ASAH1 gene, while increasing the expression of glucosylceramide synthase (GCS), encoded by the UGCG gene. Remarkably, knockdown of AC alone via RNA interference is enough to induce melanoma cell dedifferentiation. Furthermore, treatment with Eliglustat, a GCS inhibitor, inhibits TNF-induced melanoma cell dedifferentiation. Lastly, analysis of plasma samples from patients treated with immune checkpoint inhibitors, with or without anti-TNF therapy, revealed significant predictive sphingolipids. Notably, the top 8 predictive sphingolipids, including glycosphingolipids, were associated with a poor response to immunotherapy. Discussion: Our study highlights that ceramide metabolism alterations are causally involved in TNF-induced melanoma cell dedifferentiation and suggests that the evolution of specific ceramide metabolites in plasma may be considered as predictive biomarkers of resistance to immunotherapy.",GSE270741,2024/07/24,Not Relevant,3/3,"The study focuses on melanoma and its resistance to immune checkpoint inhibitors, which is not directly related to lung cancer or immunotherapies for lung cancer.; This dataset focuses on melanoma and its resistance to immune checkpoint inhibitors, which does not directly pertain to lung cancer immunotherapies.; This dataset focuses on melanoma, which is a different type of cancer from lung cancer. While immunotherapy resistance is discussed, the specific context and findings are not applicable to lung cancer therapies. Therefore, it does not contribute directly to exploring immunotherapies for lung cancer."
1,200245808,HMGA1 causes a global shift in chromatin architecture linked to transcriptional changes,This SuperSeries is composed of the SubSeries listed below.,GSE245808,2024/07/08,Not Relevant,3/3,"This dataset discusses chromatin architecture and transcriptional changes, without direct relevance to immunotherapies or lung cancer.; The study relates to chromatin architecture changes and transcriptional alterations, without direct relevance to lung cancer or immunotherapy.; This dataset discusses chromatin architecture and transcriptional changes, which do not specifically pertain to lung cancer or immunotherapies. The focus is on HMGA1's role, which is not related to the mechanisms of lung cancer immunotherapy."
2,200268242,Anti-tumor Efficacy of HRS-4642 and Its Potential Combination with Proteasome Inhibition in KRAS G12D-mutant Cancer [CRISPR],"KRAS G12D is the most frequently mutated oncogenic KRAS subtype in solid tumors and remains undruggable in clinical settings. Here, we developed a high affinity, selective, long-acting, and non-covalent KRAS G12D inhibitor, HRS-4642, with an affinity constant of 0.083 nM. HRS-4642 demonstrats robust efficacy against KRAS G12D-mutant cancers both in vitro and in vivo. Importantly, in a phase 1 clinical trial, HRS-4642 exhibits promising anti-tumor activity in the escalating dosing cohorts. Furthermore, the sensitization and resistance spectrum for HRS-4642 was deciphered through genome-wide CRISPR/Cas9 screening, which unveiled the proteasome as a synergistic target. We further observed that the proteasome inhibitor, carfilzomib, prominently improved the anti-tumor efficacy of HRS-4642. Additionally, HRS-4642, especially when combined with carfilzomib, significantly reshapes the tumor microenvironment towards an immune permissive one. In summary, this study provides potential therapies for patients with KRAS G12D-mutant cancers, for whom effective treatments are currently lacking.",GSE268242,2024/07/12,Not Relevant,3/3,"The research is centered around KRAS G12D-mutant cancers, which does not specifically address lung cancer immunotherapies.; This dataset is centered around KRAS G12D-mutant cancers, which may not be directly tied to the broader scope of lung cancer immunotherapy.; This dataset investigates KRAS G12D-mutant cancers, which are not specifically lung cancer-focused, and it does not explore immunotherapies. The findings are more relevant to targeted therapies rather than immunotherapy."
3,200261624,Gene expression profile of all CD4 T cells from the mesenteric lymph nodes of SPF and Nippostrongylus Brasiliensis infected mice,"The discovery of naïve T cell transcriptional heterogeneity in specific-pathogen-free (SPF) mice represents a paradigm shift. While the ablation of Vista can alter the proportion of naïve CD4+ T cells with unique transcriptional signatures and the ‘readiness’ of the mice to break tolerance, the effect of non-heritable environmental exposures to commensals or infections remains entirely unknown. This is especially significant since individual variance in immune response, rather than being genetically inherited, is mostly attributed to environmental factors. Here we demonstrate that transcriptional heterogeneity characterizes even the germ-free (GF) mouse naïve CD4+ T cells. Naïve CD4+ T cell transcriptional subsets and their proportions were identical between GF, SPF and conventionalized GF mice, thus commensal-independent. Notwithstanding, Nippostrongylus brasiliensis (N.b.) infection altered the proportions of these transcriptional subsets, and the appearance of cells with a unique transcriptional signature. These naïve T cell-intrinsic changes accounted for the decreased immunization response of mice to an unrelated antigen. The compositional and functional changes in the naïve CD4+ T cell pool were dependent-variables of helminth infection, regressing with N.b. clearance. Therefore, naïve T cells are not uniformly uncommitted substrates for antigen-dependent activation but actively integrate environmental cues to permute the magnitude of the immune response.",GSE261624,2024/07/25,Not Relevant,3/3,"This dataset primarily deals with CD4 T cells in mice and environmental factors affecting immune response, lacking direct relevance to lung cancer immunotherapies.; The focus is on transcriptional heterogeneity in T cells influenced by infection, lacking a direct link to lung cancer or immunotherapy.; This dataset examines T cell responses in a mouse model unrelated to lung cancer. The focus on naïve T cell transcriptional heterogeneity does not address lung cancer or immunotherapy directly."
4,200270084,"Genome-wide Methylation Patterns in Primary Uveal Melanoma: MethylSig-UM, an Epigenomic Prognostic Signature to Improve Patient Stratification","Despite studies highlighting the prognostic utility of DNA methylation in primary uveal melanoma (pUM), it has not been translated into a clinically-useful tool. We sought to define a methylation signature to identify newly diagnosed individuals at high risk for developing metastasis. Methylation profiling was performed on 41 pUM with at least three years of follow-up using the Illumina Infinium HumanMethylation450K BeadChip (n=24) and the EPIC BeadChip (n= 17). Findings were validated in the TCGA cohort with known metastatic outcome (n=69). Differentially methylated probes were identified in patients who developed metastasis. Unsupervised consensus clustering revealed three epigenomic subtypes associated with metastasis. To identify a prognostic signature, recursive feature elimination and random forest models were utilized within repeated cross-validation iterations. The 250 most commonly selected probes compose the final signature, named MethylSig-UM. MethylSig-UM can distinguish individuals with pUM at diagnosis who developed future metastasis with an area under the curve of ~81% in the independent validation cohort, and remains significant in Cox proportional hazard models when combined with clinical features and established genomic biomarkers. Altered expression of immune modulating genes were detected in MethylSig-UM positive tumors, providing clues for pUM resistance to immunotherapy. The MethylSig-UM model is available to enable additional validation.",GSE270084,2024/07/24,Not Relevant,3/3,"The focus of this study is on uveal melanoma and its methylation patterns, which are not applicable to lung cancer immunotherapy.; The research emphasizes DNA methylation in uveal melanoma, which is not relevant to lung cancer or its immunotherapies.; This dataset is about primary uveal melanoma and its methylation patterns. It does not relate to lung cancer or its immunotherapy response, making it not relevant to the query."
5,200268049,The effect of exposure to neighborhood violence on GR signaling in lung tumors [Spatial Transcriptomics],"Despite lower rates and intensity of smoking, Black men experience a higher incidence of lung cancer compared to White men. The racial disparity in lung cancer is particularly pronounced in Chicago, a highly segregated urban city. Neighborhood conditions, particularly social stress, may play a role in lung tumorigenesis. Preliminary studies indicate that Black men residing in neighborhoods with higher rates of violent crime have significantly higher levels of hair cortisol, an indicator of stress response. To examine the relationship between social stress exposure and gene expression in lung tumors, we investigated glucocorticoid receptor (GR) binding in lung tumor samples in relation to GR target gene expression levels and zip code level residential neighborhood violence. Spatial transcriptomics and a version of ChIP-sequencing known as CUT & RUN were used. GR recruitment to chromatin was correlated with neighborhood violent crime rate and overall GR binding increased with increasing neighborhood violent crime rates. Among patients residing in high-violence neighborhoods, tumor samples, compared to normal neighboring lung tissue, had fewer GR binding sites. The opposite was seen in patients residing in low-violence neighborhoods, with tumor samples having more GR binding sites when compared to normal lung tissue. Tumor samples from patients living in high-violence neighborhoods exhibited increased GR recruitment to genes associated with greater tumor aggressiveness. Our findings suggest that exposure to neighborhood violence may influence tumor biology via reprogramming GR recruitment. Prioritizing lung cancer screening in neighborhoods with increased social stress, such as high violence, may reduce racial disparities in lung cancer.",GSE268049,2024/07/10,Relevant,3/3,"It investigates lung tumors and the effects of neighborhood violence on gene expression, which can provide insights into the biology of lung cancer, potentially impacting immunotherapy responses.; This dataset investigates the effect of neighborhood violence on GR signaling in lung tumors, suggesting implications for understanding lung cancer biology and its treatment.; This dataset discusses the impact of neighborhood violence on lung tumors, which could relate to lung cancer progression and potentially influence responses to immunotherapies. The focus on lung cancer makes it relevant."
6,200267325,RNA profiling of CSF resident macrophages and monocyte-macrophages from leptomeningeal metastasis mice,"We investigated the functional effect of dura-derived leptomeningeal matastasis (LM)-associated macrophages (dLAMs) on the cerebrospinal fluid (CSF) niche during LM outgrowth. Using lung cancer leptomeningeal metastasis models of Cx3cr1CreER:mTmG mice with tamoxifen administration, we achieved dLAMs and monocyte-macrophages via fluorescence-activated cell sorting (FACS). Then we performed bulk RNAseq analysis for these two cell populations.",GSE267325,2024/07/24,Not Relevant,3/3,"This dataset focuses on macrophages in leptomeningeal metastasis, which does not directly pertain to lung cancer or immunotherapy.; The focus on macrophage profiling in leptomeningeal metastasis does not directly address lung cancer or its immunotherapies.; This dataset focuses on leptomeningeal metastasis in mice and does not specifically address lung cancer or immunotherapies, making it not relevant."
7,200269782,Defective N-Glycosylation of IL6 Induces Metastasis and Tyrosine Kinase Inhibitor Resistance in Lung Cancer,"The biological consequences of various IL-6 glycoforms are unknown. To uncover the function of N-glycosylation of IL-6 in lung cancer, we compare the gene expression profiles in NSCLC cells induced by conditioned medium containing IL-6 with complete N-glycosylation (NG-IL6) or defective N-glycosylation (deNG-IL6).",GSE269782,2024/07/16,Relevant,3/3,"This dataset analyzes the role of IL-6 glycosylation in lung cancer, which is relevant for understanding resistance mechanisms in lung cancer therapies.; This dataset explores IL-6 N-glycosylation's effects on lung cancer metastasis and resistance to therapies, making it relevant to the study of lung cancer immunotherapy.; This dataset examines the role of IL-6 glycosylation in lung cancer and its implications for metastasis and treatment resistance. This directly relates to lung cancer and its potential immunotherapy responses."
8,200234818,Faecalibaterium prausnitzii strain EXL01 boosts efficacy of Immune Checkpoint Inhibitors,"Gut microbiota impacts responses to immune checkpoint inhibitors (ICI). High level of Faecalibacterium prausnitzii has been associated with a positive response to ICI in multiple cancer types. Here, we show in two independent cohorts of patients with non-small cell lung cancer and advanced melanoma that high level of F. prausnitzii at baseline is positively associated with a better clinical response to ICI. In a mouse preclinical model, we show that the F. prausnitzii strain EXL01, already in clinical development for Inflammatory Bowel Disease, restores the anti-tumor response to ICI in the context of antibiotic-induced microbiota perturbation at clinical and tumor transcriptomics level. In vitro, EXL01 strain enhances T cell activation in the presence of ICI. Interestingly, oral administration of EXL01 strain is not associated with a change in fecal microbiota diversity or composition suggesting a direct effect on immune cells in the small intestine.",GSE234818,2024/07/10,Relevant,3/3,"It discusses the impact of gut microbiota on immune checkpoint inhibitors specifically in non-small cell lung cancer, making it highly relevant to the query.; The dataset provides insights into the role of gut microbiota in enhancing responses to immune checkpoint inhibitors in lung cancer patients.; This dataset shows the association of gut microbiota with immune checkpoint inhibitors in lung cancer patients, directly impacting the exploration of immunotherapies for lung cancer."
9,200268048,The effect of exposure to neighborhood violence on GR signaling in lung tumors [CUT&Run],"Despite lower rates and intensity of smoking, Black men experience a higher incidence of lung cancer compared to White men. The racial disparity in lung cancer is particularly pronounced in Chicago, a highly segregated urban city. Neighborhood conditions, particularly social stress, may play a role in lung tumorigenesis. Preliminary studies indicate that Black men residing in neighborhoods with higher rates of violent crime have significantly higher levels of hair cortisol, an indicator of stress response. To examine the relationship between social stress exposure and gene expression in lung tumors, we investigated glucocorticoid receptor (GR) binding in lung tumor samples in relation to GR target gene expression levels and zip code level residential neighborhood violence. Spatial transcriptomics and a version of ChIP-sequencing known as CUT & RUN were used. GR recruitment to chromatin was correlated with neighborhood violent crime rate and overall GR binding increased with increasing neighborhood violent crime rates. Among patients residing in high-violence neighborhoods, tumor samples, compared to normal neighboring lung tissue, had fewer GR binding sites. The opposite was seen in patients residing in low-violence neighborhoods, with tumor samples having more GR binding sites when compared to normal lung tissue. Tumor samples from patients living in high-violence neighborhoods exhibited increased GR recruitment to genes associated with greater tumor aggressiveness. Our findings suggest that exposure to neighborhood violence may influence tumor biology via reprogramming GR recruitment. Prioritizing lung cancer screening in neighborhoods with increased social stress, such as high violence, may reduce racial disparities in lung cancer.",GSE268048,2024/07/10,Relevant,3/3,"This dataset also examines the effects of neighborhood violence on lung tumors, providing insights relevant to lung cancer biology and immunotherapy.; Similar to ID 200268049, this dataset again examines the influence of neighborhood violence on GR signaling in lung tumors, highlighting factors affecting lung cancer treatment.; This dataset discusses the impact of neighborhood violence on GR signaling in lung tumors, relevant to lung cancer biology and potentially influencing immunotherapy strategies."
