,ID,Title,Summary,Species,Accession,Date,RelevanceScore,IndividualScore1,IndividualScore2,IndividualScore3,Justification1,Justification2,Justification3
0,200270741,Ceramide metabolism alterations contribute to Tumor Necrosis Factor-induced melanoma dedifferentiation and predict resistance to immune checkpoint inhibitors in advanced melanoma patients [WM35],"Introduction: Advanced cutaneous melanoma is a skin cancer characterized by a poor prognosis and high metastatic potential. During metastatic spread, melanoma cells often undergo dedifferentiation toward an invasive phenotype, resulting in reduced expression of microphthalmia-associated transcription factor (MITF)-dependent melanoma antigens and facilitating immune escape. Tumor Necrosis Factor (TNF) is known to be a key factor in melanoma dedifferentiation. Interestingly, accumulating evidence suggests that TNF may play a role in melanoma progression and resistance to immunotherapies. Additionally, TNF has been identified as a potent regulator of sphingolipid (SL) metabolism, which could contribute to melanoma aggressiveness and the process of melanoma dedifferentiation. Methods: We conducted RNA sequencing and mass spectrometry analyses to investigate TNF-induced dedifferentiation in two melanoma cell lines. In vitro experiments were performed to manipulate sphingolipid metabolism using genetic or pharmacologic alterations in combination with TNF treatment, aiming to elucidate the potential involvement of this metabolism in TNF-induced dedifferentiation. Lastly, to evaluate the clinical significance of our findings, we performed unsupervised analysis of plasma sphingolipid levels in 48 patients receiving treatment with immune checkpoint inhibitors, either alone or in combination with anti-TNF therapy. Results: Herein, we demonstrate that TNF-induced melanoma cell dedifferentiation is associated with a global modulation of sphingolipid metabolism. Specifically, TNF decreases the expression and activity of acid ceramidase (AC), encoded by the ASAH1 gene, while increasing the expression of glucosylceramide synthase (GCS), encoded by the UGCG gene. Remarkably, knockdown of AC alone via RNA interference is enough to induce melanoma cell dedifferentiation. Furthermore, treatment with Eliglustat, a GCS inhibitor, inhibits TNF-induced melanoma cell dedifferentiation. Lastly, analysis of plasma samples from patients treated with immune checkpoint inhibitors, with or without anti-TNF therapy, revealed significant predictive sphingolipids. Notably, the top 8 predictive sphingolipids, including glycosphingolipids, were associated with a poor response to immunotherapy. Discussion: Our study highlights that ceramide metabolism alterations are causally involved in TNF-induced melanoma cell dedifferentiation and suggests that the evolution of specific ceramide metabolites in plasma may be considered as predictive biomarkers of resistance to immunotherapy.",Homo sapiens,GSE270741,2024/07/24,1.3,2,1,1,"Attempt 1: Score 2 - This dataset focuses on melanoma and its resistance to immune checkpoint inhibitors, which is somewhat related to immunotherapy. However, it does not directly address lung cancer, which is the primary focus of the query. The relevance is limited as the biological concepts mainly pertain to melanoma rather than lung cancer.","Attempt 2: Score 1 - This dataset focuses on melanoma and its resistance to immune checkpoint inhibitors, which is somewhat related to immunotherapy. However, it does not specifically address lung cancer, making it only minimally relevant to the query.","Attempt 3: Score 1 - This dataset focuses on melanoma and its resistance to immune checkpoint inhibitors, which is somewhat related to immunotherapies but does not specifically address lung cancer. The primary biological concepts involve melanoma, TNF, and sphingolipid metabolism, which do not align with the query's focus on lung cancer immunotherapy."
1,200266291,Single cell RNAseq profiling of Human Pancreatic Islets across sex,"Mechanisms driving sex differences across islet cells is unknown. Thus, studying sex differences in islet regulation and function represent a unique avenue to understand the sex-specific heterogeneity in β cell failure in diabetes. We examined sex and race differences in human pancreatic islets from 15 donors using an orthogonal series of experiments including single cell RNA-seq (scRNA-seq), single nucleus assay for transposase-accessible chromatin sequencing (snATAC-seq), dynamic hormone secretion, and bioenergetics.",Homo sapiens,GSE266291,2024/07/25,0.3,1,0,0,"Attempt 1: Score 1 - This dataset examines pancreatic islets and sex differences, which is not relevant to lung cancer or immunotherapy. The focus on islet cells and diabetes does not align with the query regarding lung cancer immunotherapies.","Attempt 2: Score 0 - This dataset investigates pancreatic islets and sex differences in diabetes, which are unrelated to lung cancer or immunotherapies, thus it is not relevant to the query.","Attempt 3: Score 0 - This dataset investigates pancreatic islets and sex differences in diabetes, which is unrelated to lung cancer or immunotherapy. There are no relevant biological concepts that connect to the research query."
2,200271671,Exosomal miR-194 from adipose-derived stem cells impedes hypertrophic scar formation through targeting TGF-β1,"Hypertrophic scars, which result from aberrant fibrosis and disorganized collagen synthesis by skin fibroblasts, emerge due to disrupted wound healing processes. These scars present significant psychosocial and functional challenges to affected individuals. The current treatment limitations largely arise from an incomplete understanding of the underlying mechanisms of hypertrophic scar development. Recent studies, however, have shed light on the potential of exosomal non-coding RNAs interventions to mitigate hypertrophic scar proliferation. This research assesses the impact of exosomes derived from adipose-derived stem cells (ADSCs-Exos) on hypertrophic scar formation using a rabbit ear model. We employed Hematoxylin and Eosin staining, Masson’s Trichrome staining, and Immunohistochemical staining techniques to track scar progression. Our comprehensive analysis encompassed the differential expression of non-coding RNAs, enrichment analyses of functional pathways, protein-protein interaction studies, and miRNA-mRNA interaction investigations. The results reveal a marked alteration in the expression levels of long non-coding RNAs and microRNAs following ADSCs-Exos treatment, with little changes observed in circular RNAs. Notably, miR-194 emerges as a critical regulator within the signaling pathways that govern hypertrophic scar formation. Dual-luciferase assays indicated a significant reduction in the promoter activity of TGF-β1 after miR-194 overexpression. Quantitative reverse transcription PCR and Western blotting assays further validated the decrease in TGF-β1 expression in the treated samples. Moreover, the treatment resulted in diminished levels of inflammatory markers IL-1β, TNF-α, and IL-10. In vivo evidence strongly supports the role of miR-194 in attenuating hypertrophic scar formation through the suppression of TGF-β1. Our findings endorse the strategic use of ADSCs-Exos, particularly through miR-194 modulation, as an effective strategy for reducing scar formation and lowering pro-inflammatory and fibrotic indicators like TGF-β1. Therefore, this study advocates for the targeted application of ADSCs-Exos, with an emphasis on miR-194 modulation, as a promising approach to managing proliferative scarring.",Oryctolagus cuniculus,GSE271671,2024/07/24,0.3,1,0,0,"Attempt 1: Score 1 - The study investigates hypertrophic scars and the role of exosomal miR-194, which is unrelated to lung cancer or immunotherapy. The biological concepts do not connect to the query.","Attempt 2: Score 0 - The study focuses on hypertrophic scars and the role of exosomal miR-194, which is unrelated to lung cancer or immunotherapy, resulting in no relevance.","Attempt 3: Score 0 - This dataset focuses on hypertrophic scars and the role of exosomal miR-194 in skin fibroblasts, which is not related to lung cancer or immunotherapy. The biological concepts are centered around wound healing and fibrosis, lacking relevance to the query."
3,200233096,STAT3 inhibition permits epigenetic reprogramming and TLR9/IRF8-driven differentiation of inv(16) acute myeloid leukemia [RNASEQ_AML_DECSCR],"Cultured acute myeloid leukemia (AML) blasts can differentiate into antigen-presenting cells but achieving leukemic cell immunogenicity proved challenging in clinical setting. Despite expressing multiple immunostimulatory receptors, such as Toll-like Receptor 9 (TLR9), AML cells resist immunostimulation. We previously demonstrated that eliminating Signal Transducer and Activator of Transcription 1 and 3 (STAT1/3) signaling in AML cells using decoy DNA strategy (CpG-STAT3dODN) synergized with TLR9 stimulation and resulted in T cell-mediated leukemia regression. Here, we interrogated the molecular underpinnings of CpG-STAT3dODN-driven differentiation and immunogenicity of mouse Cbfb/MYH11/Mpl AML. The transcriptional profiling of AML cells isolated from mice after inducible Stat3 silencing plus TLR9 stimulation or CpG-STAT3dODN treatment, revealed comparable upregulation of genes related to myeloid cell differentiation (Irf8, Cebpa) and immune stimulation (Gadd45a, Ciita, Il12a, Ifng) but decreased expression of leukemia-promoting Runx1 and Run1t1. The conditional Irf8 silencing in AML cells almost completely abrogated TLR9-driven leukemia cell differentiation. The AML cell reprogramming by CpG-STAT3dODN was likely regulated epigenetically as revealed by reduced global promoter hypomethylation of crucial myeloid cell differentiation and immune activation genes. These changes were associated with reduced expression of known STAT3 targets, DNMT1 and DNMT3a/b. Finally, we provide initial evidence of anti-leukemic effects of CpG-STAT3 inhibitor against human AML model in humanized mice. Our studies suggest that, beyond oncogenic functions, STAT3 in AML cells may be a primary checkpoint in control of immune-stimulatory and differentiation driving effects. These findings support further development of CpG-STAT3 inhibitors as a new bi-functional agents for AML immunotherapy.",Mus musculus,GSE233096,2024/07/23,0.3,1,0,0,"Attempt 1: Score 1 - This dataset focuses on acute myeloid leukemia (AML) and its differentiation, which is unrelated to lung cancer or immunotherapy. The biological concepts do not align with the research query.","Attempt 2: Score 0 - This dataset examines acute myeloid leukemia and its differentiation mechanisms, which are not related to lung cancer or immunotherapy, leading to no relevance.","Attempt 3: Score 0 - This dataset studies acute myeloid leukemia and its differentiation, which does not relate to lung cancer or immunotherapy. The biological concepts are focused on AML and immune stimulation, making it irrelevant to the query."
4,200261624,Gene expression profile of all CD4 T cells from the mesenteric lymph nodes of SPF and Nippostrongylus Brasiliensis infected mice,"The discovery of naïve T cell transcriptional heterogeneity in specific-pathogen-free (SPF) mice represents a paradigm shift. While the ablation of Vista can alter the proportion of naïve CD4+ T cells with unique transcriptional signatures and the ‘readiness’ of the mice to break tolerance, the effect of non-heritable environmental exposures to commensals or infections remains entirely unknown. This is especially significant since individual variance in immune response, rather than being genetically inherited, is mostly attributed to environmental factors. Here we demonstrate that transcriptional heterogeneity characterizes even the germ-free (GF) mouse naïve CD4+ T cells. Naïve CD4+ T cell transcriptional subsets and their proportions were identical between GF, SPF and conventionalized GF mice, thus commensal-independent. Notwithstanding, Nippostrongylus brasiliensis (N.b.) infection altered the proportions of these transcriptional subsets, and the appearance of cells with a unique transcriptional signature. These naïve T cell-intrinsic changes accounted for the decreased immunization response of mice to an unrelated antigen. The compositional and functional changes in the naïve CD4+ T cell pool were dependent-variables of helminth infection, regressing with N.b. clearance. Therefore, naïve T cells are not uniformly uncommitted substrates for antigen-dependent activation but actively integrate environmental cues to permute the magnitude of the immune response.",Mus musculus,GSE261624,2024/07/25,0.3,1,0,0,"Attempt 1: Score 1 - This dataset studies CD4 T cells in the context of a specific pathogen, which does not relate to lung cancer or immunotherapy. The focus on T cell transcriptional heterogeneity does not address the query.","Attempt 2: Score 0 - This dataset focuses on CD4 T cells in the context of a parasitic infection, which does not relate to lung cancer or immunotherapies, resulting in no relevance.","Attempt 3: Score 0 - This dataset examines CD4 T cells in the context of Nippostrongylus brasiliensis infection, which is unrelated to lung cancer or immunotherapy. The focus is on T cell transcriptional heterogeneity, not relevant to the query."
5,200233098,STAT3 inhibition permits epigenetic reprogramming and TLR9/IRF8-driven differentiation of inv(16) acute myeloid leukemia [scRNA-seq],"Cultured acute myeloid leukemia (AML) blasts can differentiate into antigen-presenting cells but achieving leukemic cell immunogenicity proved challenging in clinical setting. Despite expressing multiple immunostimulatory receptors, such as Toll-like Receptor 9 (TLR9), AML cells resist immunostimulation. We previously demonstrated that eliminating Signal Transducer and Activator of Transcription 1 and 3 (STAT1/3) signaling in AML cells using decoy DNA strategy (CpG-STAT3dODN) synergized with TLR9 stimulation and resulted in T cell-mediated leukemia regression. Here, we interrogated the molecular underpinnings of CpG-STAT3dODN-driven differentiation and immunogenicity of mouse Cbfb/MYH11/Mpl AML. The transcriptional profiling of AML cells isolated from mice after inducible Stat3 silencing plus TLR9 stimulation or CpG-STAT3dODN treatment, revealed comparable upregulation of genes related to myeloid cell differentiation (Irf8, Cebpa) and immune stimulation (Gadd45a, Ciita, Il12a, Ifng) but decreased expression of leukemia-promoting Runx1 and Run1t1. The conditional Irf8 silencing in AML cells almost completely abrogated TLR9-driven leukemia cell differentiation. The AML cell reprogramming by CpG-STAT3dODN was likely regulated epigenetically as revealed by reduced global promoter hypomethylation of crucial myeloid cell differentiation and immune activation genes. These changes were associated with reduced expression of known STAT3 targets, DNMT1 and DNMT3a/b. Finally, we provide initial evidence of anti-leukemic effects of CpG-STAT3 inhibitor against human AML model in humanized mice. Our studies suggest that, beyond oncogenic functions, STAT3 in AML cells may be a primary checkpoint in control of immune-stimulatory and differentiation driving effects. These findings support further development of CpG-STAT3 inhibitors as a new bi-functional agents for AML immunotherapy.",Mus musculus,GSE233098,2024/07/23,0.3,1,0,0,"Attempt 1: Score 1 - Similar to the previous dataset, this study on AML does not relate to lung cancer or immunotherapy. The focus on TLR9 and AML differentiation is not relevant to the query.","Attempt 2: Score 0 - Similar to ID 200233096, this dataset is centered on acute myeloid leukemia and does not pertain to lung cancer or immunotherapy, leading to no relevance.","Attempt 3: Score 0 - Similar to ID 200233096, this dataset focuses on AML and does not relate to lung cancer or immunotherapy. The biological concepts are centered on AML differentiation and immune stimulation, which are not applicable to the query."
6,200271086,Personalized dendritic cell vaccine facilitates the preparation of neoantigen-reactive T cells for adoptive transfer (scTCR-Seq),"Adoptive cell transfer (ACT) using neoantigen-specific T cells is an effective immunotherapeutic strategy. However, the difficulty in identifying and screening neoantigen-specific T cells limits its widespread application. Here, we prepared neoantigen-reactive T cells (NRTs) after immunization with a tumor lysate-loaded dendritic cell (DC) vaccine (OCDC) for ACT. Our results demonstrated that the OCDC vaccine could induce a neoantigen-specific immune response, and it was feasible to prepare NRTs by loading immunogenic neoantigens onto DCs and coculturing them with spleen lymphocytes from mice immunized with the OCDC vaccine. We then transferred these NRTs back to the LL/2 tumor-bearing mice after OCDC vaccine immunization and found that OCDC vaccine and NRTs adoptive transfer combination treatment could induce a stronger antitumor response. Furthermore, we found that infused NRTs could migrate into the tumor microenvironment to exert antitumor effects. Our research provides a new and convenient method of preparing NRTs for ACT. The clinical translation of this approach has the potential to increase ACT efficacy.",Mus musculus,GSE271086,2024/07/05,1.0,3,0,0,"Attempt 1: Score 3 - This dataset discusses the preparation of neoantigen-reactive T cells for adoptive transfer, which is relevant to immunotherapy. However, it does not specifically address lung cancer, limiting its direct applicability to the query.","Attempt 2: Score 0 - This dataset discusses dendritic cell vaccines for neoantigen-reactive T cells but does not specifically address lung cancer, resulting in no relevance.","Attempt 3: Score 0 - This dataset discusses dendritic cell vaccines for neoantigen-reactive T cells in a general context, not specifically lung cancer or immunotherapy. The focus is on T cell preparation rather than lung cancer treatment, making it irrelevant to the query."
7,200242951,Contribution of crosstalk of mesothelial and tumoral epithelial cells in pleural metastasis of lung cancer,"Tumor metastasis commonly affects pleura in advanced lung cancer and is related to poor prognosis, but without systematic investigation on different cell types and their crosstalk at single cell resolution. Here, by integrating 180785 single cells from lung cancer and control samples, the most distinctive transcriptome profiles between tumor and control were revealed in mesothelial cells, which is the predominate cell type of pleura. Four subtypes were divided, including one predominately identified in malignant pleural effusion which was characterized by enriched cancer related pathways (e.g., cell migration) along evolutionary trajectory from normal mesothelial cells. Cancer-associated mesothelial cells exhibited varied interactions with different subtypes of malignant epithelial cells, and multiple ligands/receptors exhibited significant correlation with poor prognosis. Experimentally, mesothelial cells can increase the migration ability of lung cancer cells through co-culturing assay, and EGFR was the only affected gene in cancer cells that exhibited interaction with mesothelial cells and was associated with poor prognosis. Using EGFR antagonist cetuximab prevented the increased invasiveness of lung cancer cells induced by mesothelial cells. Moreover, EPGN-EGFR interaction was supported through spatial distribution analysis, revealing the significant proximity between EPGN+ mesothelial cells and EGFR+ epithelial cells. Our findings highlighted the important role of mesothelial cells and their interactions with cancer cells in pleural metastasis of lung cancer, which may facilitate cancer progression.",Homo sapiens,GSE242951,2024/06/26,8.0,8,8,8,"Attempt 1: Score 8 - This dataset is highly relevant as it investigates the crosstalk of mesothelial and tumoral epithelial cells in pleural metastasis of lung cancer. It focuses on the interactions that facilitate cancer progression, aligning closely with the query about lung cancer immunotherapies.","Attempt 2: Score 8 - This dataset directly investigates the role of mesothelial cells in pleural metastasis of lung cancer, making it highly relevant to the query on lung cancer immunotherapies.","Attempt 3: Score 8 - This dataset directly investigates the crosstalk between mesothelial and tumoral epithelial cells in pleural metastasis of lung cancer, which is highly relevant to the query. The biological concepts include lung cancer, cell interactions, and metastasis, aligning well with the focus on lung cancer immunotherapy."
8,200270084,"Genome-wide Methylation Patterns in Primary Uveal Melanoma: MethylSig-UM, an Epigenomic Prognostic Signature to Improve Patient Stratification","Despite studies highlighting the prognostic utility of DNA methylation in primary uveal melanoma (pUM), it has not been translated into a clinically-useful tool. We sought to define a methylation signature to identify newly diagnosed individuals at high risk for developing metastasis. Methylation profiling was performed on 41 pUM with at least three years of follow-up using the Illumina Infinium HumanMethylation450K BeadChip (n=24) and the EPIC BeadChip (n= 17). Findings were validated in the TCGA cohort with known metastatic outcome (n=69). Differentially methylated probes were identified in patients who developed metastasis. Unsupervised consensus clustering revealed three epigenomic subtypes associated with metastasis. To identify a prognostic signature, recursive feature elimination and random forest models were utilized within repeated cross-validation iterations. The 250 most commonly selected probes compose the final signature, named MethylSig-UM. MethylSig-UM can distinguish individuals with pUM at diagnosis who developed future metastasis with an area under the curve of ~81% in the independent validation cohort, and remains significant in Cox proportional hazard models when combined with clinical features and established genomic biomarkers. Altered expression of immune modulating genes were detected in MethylSig-UM positive tumors, providing clues for pUM resistance to immunotherapy. The MethylSig-UM model is available to enable additional validation.",Homo sapiens,GSE270084,2024/07/24,0.7,2,0,0,"Attempt 1: Score 2 - This dataset relates to uveal melanoma and its methylation patterns, which is not directly relevant to lung cancer. While it discusses immunotherapy resistance, the focus on a different cancer type limits its relevance.","Attempt 2: Score 0 - This dataset focuses on uveal melanoma and its methylation patterns, which are unrelated to lung cancer or immunotherapy, resulting in no relevance.","Attempt 3: Score 0 - This dataset focuses on uveal melanoma and its methylation patterns, which are unrelated to lung cancer or immunotherapy. The concepts involved do not connect to the research query."
9,200261186,Serial Changes of Circulating Tumor Cells in Patients with Hepatocellular Carcinoma Treated with Atezolizumab Plus Bevacizumab,"Background and aims: Immune checkpoint inhibitors have promising outcomes in patients with hepatocellular carcinoma (HCC); however, there is no reliable biomarker for predicting disease progression. Circulating tumor cells (CTCs) derived from peripheral blood have attracted attention in monitoring therapeutic efficacy. In this study, CTCs were serially collected from patients with HCC undergoing atezolizumab plus bevacizumab (Atezo+Bev) treatment, and changes in molecular expression and CTC numbers were analyzed to identify effective biomarkers. Approach and results: The peripheral blood samples were collected serially from 22 patients with HCC treated with Atezo+Bev, and CTCs were enriched using RosetteSep. The CD45(-)PanCK(+) cell counts were measured using flow cytometry. RNA extracted from enriched CTCs underwent targeted RNA sequencing with next-generation sequencing (NGS) and performed unsupervised hierarchical clustering analysis. Changes in CTC numbers during Atezo+Bev treatment reflected the tumor volume. NGS analysis revealed that patients with elevated transforming growth factor (TGF)-β signaling molecules had a poorer response, whereas those with elevated apoptosis signaling molecules had a favorable response (p < 0.05). In addition, compared with changes in CTC counts, changes in TGF-β signaling molecule expression in CTCs accurately and promptly predicted treatment response. Conclusions: NGS analysis of CTC-derived RNA showed that changes in TGF-β signaling molecules predict treatment response earlier than changes in CTC counts. These findings suggest that changes in the expression of TGF-β molecules in CTCs could serve as novel biomarkers for the early prediction of therapeutic response in patients with unresectable HCC undergoing Atezo+Bev therapy.",Homo sapiens,GSE261186,2024/07/17,0.7,2,0,0,"Attempt 1: Score 2 - This dataset involves hepatocellular carcinoma and immune checkpoint inhibitors, which is somewhat related to the query. However, it does not focus on lung cancer, reducing its overall relevance.","Attempt 2: Score 0 - This dataset studies circulating tumor cells in hepatocellular carcinoma, which is unrelated to lung cancer or immunotherapy, leading to no relevance.","Attempt 3: Score 0 - This dataset studies circulating tumor cells in hepatocellular carcinoma, which is not related to lung cancer or immunotherapy. The biological concepts are focused on HCC, lacking relevance to the query."
